Time,CH1
0.0,0.50792885
2.0E-6,1.8486385
4.0E-6,3.050654
6.0E-6,4.113976
8.0E-6,4.8536773
1.0E-5,5.315992
1.2E-5,5.4546857
1.4E-5,5.2235284
1.6E-5,4.668752
1.8E-5,3.8365874
2.0E-5,2.7732663
2.2E-5,1.5250192
2.4E-5,0.184309
2.6E-5,-1.1564007
2.8E-5,-2.4046474
3.0E-5,-3.5604317
3.2E-5,-4.4388275
3.4E-5,-5.0860667
3.6E-5,-5.3634553
3.8E-5,-5.3634553
4.0E-5,-4.947373
4.2E-5,-4.3001337
4.4E-5,-3.329275
4.6E-5,-2.1734905
4.8E-5,-0.8790121
5.0E-5,0.50792885
5.2E-5,1.8486385
5.4E-5,3.050654
5.6E-5,4.113976
5.8E-5,4.8536773
6.0E-5,5.315992
6.2E-5,5.4084544
6.4E-5,5.2235284
6.6E-5,4.668752
6.8E-5,3.8365874
7.0E-5,2.7732663
7.2E-5,1.5250192
7.4E-5,0.184309
7.6E-5,-1.1564007
7.8E-5,-2.4046474
8.0E-5,-3.5604317
8.2E-5,-4.4850593
8.4E-5,-5.0860667
8.6E-5,-5.3634553
8.8E-5,-5.3634553
9.0E-5,-4.947373
9.2E-5,-4.3001337
9.4E-5,-3.329275
9.6E-5,-2.1734905
9.8E-5,-0.8790121
1.0E-4,0.50792885
1.02E-4,1.8486385
1.04E-4,3.050654
1.06E-4,4.0677447
1.08E-4,4.8536773
1.1E-4,5.2697606
1.12E-4,5.4084544
1.14E-4,5.2235284
1.16E-4,4.668752
1.17999996E-4,3.8365874
1.2E-4,2.7732663
1.22E-4,1.5250192
1.24E-4,0.184309
1.26E-4,-1.1564007
1.28E-4,-2.4046474
1.3E-4,-3.5604317
1.32E-4,-4.4850593
1.34E-4,-5.0860667
1.36E-4,-5.3634553
1.38E-4,-5.3634553
1.4E-4,-4.947373
1.42E-4,-4.3001337
1.44E-4,-3.329275
1.46E-4,-2.1734905
1.48E-4,-0.8790121
1.4999999E-4,0.50792885
1.52E-4,1.8486385
1.54E-4,3.050654
1.56E-4,4.0677447
1.58E-4,4.8536773
1.6E-4,5.315992
1.62E-4,5.4084544
1.64E-4,5.2235284
1.66E-4,4.668752
1.68E-4,3.8365874
1.7E-4,2.7732663
1.72E-4,1.5250192
1.74E-4,0.184309
1.76E-4,-1.1564007
1.78E-4,-2.4046474
1.8E-4,-3.5604317
1.82E-4,-4.4388275
1.84E-4,-5.0860667
1.86E-4,-5.3634553
1.88E-4,-5.3634553
1.9E-4,-4.947373
1.92E-4,-4.3001337
1.94E-4,-3.329275
1.96E-4,-2.1734905
1.98E-4,-0.8790121
2.0E-4,0.50792885
2.02E-4,1.8486385
2.04E-4,3.050654
2.06E-4,4.113976
2.08E-4,4.8536773
2.1E-4,5.315992
2.12E-4,5.4084544
2.14E-4,5.2235284
2.16E-4,4.668752
2.18E-4,3.8365874
