Time,CH1
0.0,5.2235284
2.0E-6,5.2235284
4.0E-6,5.2235284
6.0E-6,5.2235284
8.0E-6,5.2235284
1.0E-5,5.2235284
1.2E-5,5.2235284
1.4E-5,5.2235284
1.6E-5,3.050654
1.8E-5,-0.46292973
2.0E-5,-3.745357
2.2E-5,-4.85491
2.4E-5,-4.9011416
2.6E-5,-4.9011416
2.8E-5,-4.9011416
3.0E-5,-4.947373
3.2E-5,-4.947373
3.4E-5,-4.947373
3.6E-5,-4.993604
3.8E-5,-4.993604
4.0E-5,-4.993604
4.2E-5,-4.993604
4.4E-5,-5.0398355
4.6E-5,-5.0398355
4.8E-5,-5.0398355
5.0E-5,-5.0398355
5.2E-5,-5.0398355
5.4E-5,-5.0398355
5.6E-5,-5.0398355
5.8E-5,-5.0398355
6.0E-5,-5.0860667
6.2E-5,-5.0860667
6.4E-5,-5.0860667
6.6E-5,-5.0860667
6.8E-5,-5.0860667
7.0E-5,-5.0860667
7.2E-5,-5.0860667
7.4E-5,-5.0860667
7.6E-5,-5.0860667
7.8E-5,-5.0860667
8.0E-5,-5.0860667
8.2E-5,-5.0860667
8.4E-5,-5.0860667
8.6E-5,-5.0860667
8.8E-5,-5.0860667
9.0E-5,-5.0860667
9.2E-5,-5.0860667
9.4E-5,-5.0860667
9.6E-5,-3.1905808
9.8E-5,0.4154663
1.0E-4,3.92905
1.02E-4,4.7149835
1.04E-4,4.8999095
1.06E-4,4.992371
1.08E-4,4.992371
1.1E-4,5.0386033
1.12E-4,5.0386033
1.14E-4,5.0848346
1.16E-4,5.0848346
1.17999996E-4,5.0848346
1.2E-4,5.131067
1.22E-4,5.131067
1.24E-4,5.131067
1.26E-4,5.131067
1.28E-4,5.131067
1.3E-4,5.177297
1.32E-4,5.177297
1.34E-4,5.177297
1.36E-4,5.177297
1.38E-4,5.177297
1.4E-4,5.177297
1.42E-4,5.177297
1.44E-4,5.177297
1.46E-4,5.2235284
1.48E-4,5.2235284
1.4999999E-4,5.2235284
1.52E-4,5.2235284
1.54E-4,5.2235284
1.56E-4,5.2235284
1.58E-4,5.2235284
1.6E-4,5.2235284
1.62E-4,5.2235284
1.64E-4,5.2235284
1.66E-4,5.2235284
1.68E-4,5.2235284
1.7E-4,5.2235284
1.72E-4,5.2235284
1.74E-4,5.2235284
1.76E-4,5.2235284
1.78E-4,3.92905
1.8E-4,0.27677202
1.82E-4,-3.0056553
1.84E-4,-4.8086786
1.86E-4,-4.9011416
1.88E-4,-4.9011416
1.9E-4,-4.9011416
1.92E-4,-4.947373
1.94E-4,-4.947373
1.96E-4,-4.947373
1.98E-4,-4.993604
2.0E-4,-4.993604
2.02E-4,-4.993604
2.04E-4,-4.993604
2.06E-4,-4.993604
2.08E-4,-5.0398355
2.1E-4,-5.0398355
2.12E-4,-5.0398355
2.14E-4,-5.0398355
2.16E-4,-5.0398355
2.18E-4,-5.0398355
2.2E-4,-5.0398355
2.22E-4,-5.0860667
2.24E-4,-5.0860667
2.26E-4,-5.0860667
2.28E-4,-5.0860667
2.3E-4,-5.0860667
2.32E-4,-5.0860667
2.34E-4,-5.0860667
2.3599999E-4,-5.0860667
2.38E-4,-5.0860667
2.4E-4,-5.0860667
2.42E-4,-5.0860667
2.44E-4,-5.0860667
2.46E-4,-5.0860667
2.48E-4,-5.0860667
2.5E-4,-5.0860667
2.52E-4,-5.0860667
2.54E-4,-5.0860667
2.56E-4,-5.0860667
2.58E-4,-3.9302826
2.6E-4,-0.46292973
2.62E-4,3.2818112
2.64E-4,4.622521
2.66E-4,4.8536773
2.68E-4,4.946141
2.7E-4,4.992371
2.72E-4,5.0386033
2.74E-4,5.0386033
2.76E-4,5.0848346
2.78E-4,5.0848346
2.8E-4,5.0848346
2.82E-4,5.131067
2.84E-4,5.131067
2.86E-4,5.131067
2.88E-4,5.131067
2.9E-4,5.131067
2.92E-4,5.177297
2.94E-4,5.177297
2.96E-4,5.177297
2.98E-4,5.177297
2.9999999E-4,5.177297
3.02E-4,5.177297
3.04E-4,5.177297
3.06E-4,5.2235284
3.08E-4,5.2235284
3.1E-4,5.2235284
3.12E-4,5.2235284
3.14E-4,5.2235284
3.16E-4,5.2235284
3.18E-4,5.2235284
3.2E-4,5.2235284
3.22E-4,5.2235284
3.24E-4,5.2235284
3.26E-4,5.2235284
3.28E-4,5.2235284
3.3E-4,5.2235284
3.32E-4,5.2235284
3.34E-4,5.2235284
3.36E-4,5.2235284
3.38E-4,5.2235284
3.4E-4,4.946141
3.4199998E-4,1.0627055
3.44E-4,-2.2659533
3.46E-4,-4.716216
3.48E-4,-4.85491
3.5E-4,-4.9011416
3.52E-4,-4.9011416
3.54E-4,-4.947373
3.56E-4,-4.947373
3.58E-4,-4.947373
3.6E-4,-4.993604
3.62E-4,-4.993604
3.64E-4,-4.993604
3.66E-4,-4.993604
3.68E-4,-4.993604
3.7E-4,-5.0398355
3.72E-4,-5.0398355
3.74E-4,-5.0398355
3.76E-4,-5.0398355
3.78E-4,-5.0398355
3.8E-4,-5.0398355
3.82E-4,-5.0398355
3.84E-4,-5.0860667
3.86E-4,-5.0860667
3.88E-4,-5.0860667
3.9E-4,-5.0860667
3.92E-4,-5.0860667
3.94E-4,-5.0860667
3.96E-4,-5.0860667
3.98E-4,-5.0860667
4.0E-4,-5.0860667
4.02E-4,-5.0860667
4.04E-4,-5.0860667
4.06E-4,-5.0860667
4.08E-4,-5.0860667
4.1E-4,-5.0860667
4.12E-4,-5.0860667
4.14E-4,-5.0860667
4.16E-4,-5.0860667
4.18E-4,-5.0860667
4.2E-4,-4.577522
4.22E-4,-1.2488632
4.24E-4,2.4958777
4.26E-4,4.5300584
4.28E-4,4.8536773
4.3E-4,4.946141
4.32E-4,4.992371
4.34E-4,5.0386033
4.36E-4,5.0386033
4.38E-4,5.0848346
4.4E-4,5.0848346
4.42E-4,5.0848346
4.44E-4,5.0848346
4.46E-4,5.131067
4.48E-4,5.131067
4.5E-4,5.131067
4.52E-4,5.131067
4.54E-4,5.177297
4.56E-4,5.177297
4.58E-4,5.177297
4.6E-4,5.177297
4.62E-4,5.177297
4.64E-4,5.177297
4.66E-4,5.177297
4.68E-4,5.177297
4.7E-4,5.2235284
4.7199999E-4,5.2235284
4.74E-4,5.2235284
4.76E-4,5.2235284
4.78E-4,5.2235284
4.8E-4,5.2235284
4.82E-4,5.2235284
4.84E-4,5.2235284
4.86E-4,5.2235284
4.88E-4,5.2235284
4.9E-4,5.2235284
4.92E-4,5.2235284
4.94E-4,5.2235284
4.96E-4,5.2235284
4.98E-4,5.2235284
5.0E-4,5.2235284
5.02E-4,5.2235284
5.04E-4,1.8024073
5.06E-4,-1.5724826
5.08E-4,-4.5312905
5.1E-4,-4.85491
5.12E-4,-4.9011416
5.14E-4,-4.9011416
5.16E-4,-4.947373
5.18E-4,-4.947373
5.2E-4,-4.947373
5.22E-4,-4.947373
5.24E-4,-4.993604
5.26E-4,-4.993604
5.28E-4,-4.993604
5.3E-4,-4.993604
5.32E-4,-5.0398355
5.34E-4,-5.0398355
5.36E-4,-5.0398355
5.38E-4,-5.0398355
5.4E-4,-5.0398355
5.42E-4,-5.0398355
5.44E-4,-5.0398355
5.46E-4,-5.0860667
5.48E-4,-5.0860667
5.5E-4,-5.0860667
5.52E-4,-5.0860667
5.54E-4,-5.0860667
5.56E-4,-5.0860667
5.58E-4,-5.0860667
5.6E-4,-5.0860667
5.62E-4,-5.0860667
5.64E-4,-5.0860667
5.66E-4,-5.0860667
5.68E-4,-5.0860667
5.7E-4,-5.0860667
5.72E-4,-5.0860667
5.74E-4,-5.0860667
5.76E-4,-5.0860667
5.78E-4,-5.0860667
5.8E-4,-5.0860667
5.82E-4,-5.1322985
5.84E-4,-2.0347965
5.86E-4,1.6174817
5.88E-4,4.3913646
5.9E-4,4.807446
5.92E-4,4.946141
5.94E-4,4.992371
5.96E-4,5.0386033
5.98E-4,5.0386033
5.9999997E-4,5.0848346
6.02E-4,5.0848346
6.04E-4,5.0848346
6.06E-4,5.0848346
6.08E-4,5.131067
6.1E-4,5.131067
6.12E-4,5.131067
6.14E-4,5.131067
6.16E-4,5.177297
6.18E-4,5.177297
6.2E-4,5.177297
6.22E-4,5.177297
6.24E-4,5.177297
6.26E-4,5.177297
6.28E-4,5.177297
6.3E-4,5.177297
6.32E-4,5.2235284
6.34E-4,5.2235284
6.36E-4,5.2235284
6.38E-4,5.2235284
6.4E-4,5.2235284
