Time,CH1
0.0,1.2476311
2.0E-6,1.2476311
4.0E-6,1.2476311
6.0E-6,1.2938623
8.0E-6,1.2938623
1.0E-5,1.2938623
1.2E-5,1.2938623
1.4E-5,1.2938623
1.6E-5,1.2938623
1.8E-5,1.2938623
2.0E-5,1.2938623
2.2E-5,1.2476311
2.4E-5,1.2476311
2.6E-5,1.2476311
2.8E-5,1.2013993
3.0E-5,1.2013993
3.2E-5,1.1551685
3.4E-5,1.1089368
3.6E-5,1.0627055
3.8E-5,1.0164738
4.0E-5,1.0164738
4.2E-5,0.970243
4.4E-5,0.92401123
4.6E-5,0.87777996
4.8E-5,0.8315482
5.0E-5,0.7390857
5.2E-5,0.6928544
5.4E-5,0.64662313
5.6E-5,0.60039186
5.8E-5,0.5541601
6.0E-5,0.50792885
6.2E-5,0.4154663
6.4E-5,0.36923456
6.6E-5,0.3230033
6.8E-5,0.23054075
7.0E-5,0.184309
7.2E-5,0.13807821
7.4E-5,0.045615196
7.6E-5,-6.160736E-4
7.8E-5,-0.046847343
8.0E-5,-0.13931036
8.2E-5,-0.18554163
8.4E-5,-0.2317729
8.6E-5,-0.32423592
8.8E-5,-0.3704667
9.0E-5,-0.41669846
9.2E-5,-0.46292973
9.4E-5,-0.5091615
9.6E-5,-0.55539227
9.8E-5,-0.601624
1.0E-4,-0.6478553
1.02E-4,-0.694087
1.04E-4,-0.7403178
1.06E-4,-0.78654957
1.08E-4,-0.83278084
1.1E-4,-0.8790121
1.12E-4,-0.9252434
1.14E-4,-0.9714751
1.16E-4,-0.9714751
1.17999996E-4,-1.0177064
1.2E-4,-1.0177064
1.22E-4,-1.0639377
1.24E-4,-1.0639377
1.26E-4,-1.1101689
1.28E-4,-1.1101689
1.3E-4,-1.1101689
1.32E-4,-1.1564007
1.34E-4,-1.1564007
1.36E-4,-1.1564007
1.38E-4,-1.1564007
1.4E-4,-1.1564007
1.42E-4,-1.1101689
1.44E-4,-1.1101689
1.46E-4,-1.1101689
1.48E-4,-1.0639377
1.4999999E-4,-1.0639377
1.52E-4,-1.0639377
1.54E-4,-1.0177064
1.56E-4,-0.9714751
1.58E-4,-0.9714751
1.6E-4,-0.9252434
1.62E-4,-0.8790121
1.64E-4,-0.8790121
1.66E-4,-0.83278084
1.68E-4,-0.78654957
1.7E-4,-0.7403178
1.72E-4,-0.694087
1.74E-4,-0.6478553
1.76E-4,-0.601624
1.78E-4,-0.55539227
1.8E-4,-0.5091615
