Time,CH1
0.0,-1.2488632
4.0E-6,-1.2488632
8.0E-6,-1.2950945
1.2E-5,-1.2950945
1.6E-5,-1.2950945
2.0E-5,-1.2950945
2.4E-5,-1.3413262
2.8E-5,-1.3413262
3.2E-5,-1.3413262
3.6E-5,-1.3413262
4.0E-5,-1.387557
4.4E-5,-1.387557
4.8E-5,-1.387557
5.2E-5,-1.387557
5.6E-5,-1.4337888
6.0E-5,-1.4337888
6.4E-5,-1.4337888
6.8E-5,-1.4337888
7.2E-5,-1.48002
7.6E-5,-1.48002
8.0E-5,-1.48002
8.4E-5,-1.48002
8.8E-5,-1.48002
9.2E-5,-1.48002
9.6E-5,-1.5262513
1.0E-4,-1.5262513
1.04E-4,-1.5262513
1.08E-4,-1.5262513
1.12E-4,-1.5724826
1.16E-4,-1.5724826
1.2E-4,-1.5724826
1.24E-4,-1.6187139
1.28E-4,-1.6187139
1.32E-4,-1.6187139
1.36E-4,-1.6187139
1.4E-4,-1.6187139
1.44E-4,-1.6187139
1.48E-4,-1.5724826
1.52E-4,-1.5724826
1.56E-4,-1.5724826
1.6E-4,-1.5724826
1.64E-4,-1.5262513
1.68E-4,-1.5262513
1.72E-4,-1.5262513
1.76E-4,-1.5262513
1.8E-4,-1.48002
1.84E-4,-1.48002
1.88E-4,-1.48002
1.92E-4,-1.48002
1.96E-4,-1.48002
2.0E-4,-1.48002
2.04E-4,-1.4337888
2.08E-4,-1.4337888
2.12E-4,-1.4337888
2.16E-4,-1.4337888
2.2E-4,-1.387557
2.24E-4,-1.387557
2.28E-4,-1.387557
2.32E-4,-1.387557
2.3599999E-4,-1.3413262
2.4E-4,-1.3413262
2.44E-4,-1.3413262
2.48E-4,-1.3413262
2.52E-4,-1.2950945
2.56E-4,-1.2950945
2.6E-4,-1.2950945
2.64E-4,-1.2950945
2.68E-4,-1.2488632
2.72E-4,-1.2488632
2.76E-4,-1.2488632
2.8E-4,-1.2488632
2.84E-4,-1.202632
2.88E-4,-1.202632
2.92E-4,-1.202632
2.96E-4,-1.202632
2.9999999E-4,-1.1564007
3.04E-4,-1.1564007
3.08E-4,-1.1564007
3.12E-4,-1.1564007
3.16E-4,-1.1101689
3.2E-4,-1.1101689
3.24E-4,-1.1101689
3.28E-4,-1.1101689
3.32E-4,-1.0639377
3.36E-4,-1.0639377
3.4E-4,-1.0639377
3.44E-4,-1.0177064
3.48E-4,-1.0177064
3.52E-4,-1.0177064
3.56E-4,-1.0177064
3.6E-4,-0.9714751
3.64E-4,-0.9714751
3.68E-4,-0.9714751
3.72E-4,-0.9714751
3.76E-4,-0.9252434
3.8E-4,-0.9252434
3.84E-4,-0.9252434
3.88E-4,-0.9252434
3.92E-4,-0.8790121
3.96E-4,-0.8790121
4.0E-4,-0.8790121
4.04E-4,-0.8790121
4.08E-4,-0.83278084
4.12E-4,-0.83278084
4.16E-4,-0.83278084
4.2E-4,-0.83278084
4.24E-4,-0.78654957
4.28E-4,-0.78654957
4.32E-4,-0.78654957
4.36E-4,-0.78654957
4.4E-4,-0.7403178
4.44E-4,-0.7403178
4.48E-4,-0.7403178
4.52E-4,-0.7403178
4.56E-4,-0.694087
4.6E-4,-0.694087
4.64E-4,-0.694087
4.68E-4,-0.694087
4.7199999E-4,-0.6478553
4.76E-4,-0.6478553
4.8E-4,-0.6478553
4.84E-4,-0.601624
4.88E-4,-0.601624
4.92E-4,-0.601624
4.96E-4,-0.601624
5.0E-4,-0.55539227
5.04E-4,-0.55539227
5.08E-4,-0.55539227
5.12E-4,-0.55539227
5.16E-4,-0.5091615
5.2E-4,-0.5091615
5.24E-4,-0.5091615
5.28E-4,-0.5091615
5.32E-4,-0.46292973
5.36E-4,-0.46292973
5.4E-4,-0.46292973
5.44E-4,-0.46292973
5.48E-4,-0.41669846
5.52E-4,-0.41669846
5.56E-4,-0.41669846
5.6E-4,-0.41669846
5.64E-4,-0.3704667
5.68E-4,-0.3704667
5.72E-4,-0.3704667
5.76E-4,-0.3704667
5.8E-4,-0.32423592
5.84E-4,-0.32423592
5.88E-4,-0.32423592
5.92E-4,-0.32423592
5.96E-4,-0.27800417
5.9999997E-4,-0.27800417
6.04E-4,-0.27800417
6.08E-4,-0.2317729
6.12E-4,-0.2317729
6.16E-4,-0.2317729
6.2E-4,-0.2317729
6.24E-4,-0.18554163
6.28E-4,-0.18554163
6.32E-4,-0.18554163
6.36E-4,-0.18554163
6.4E-4,-0.13931036
6.44E-4,-0.13931036
6.48E-4,-0.13931036
6.52E-4,-0.13931036
6.56E-4,-0.09307861
6.6E-4,-0.09307861
6.64E-4,-0.09307861
6.68E-4,-0.09307861
6.72E-4,-0.046847343
6.76E-4,-0.046847343
6.8E-4,-0.046847343
6.8399997E-4,-0.046847343
6.88E-4,-6.160736E-4
6.92E-4,-6.160736E-4
6.96E-4,-6.160736E-4
7.0E-4,0.045615196
7.04E-4,0.045615196
7.08E-4,0.045615196
7.12E-4,0.045615196
7.16E-4,0.091846466
7.2E-4,0.091846466
7.24E-4,0.091846466
7.28E-4,0.091846466
7.32E-4,0.13807821
7.36E-4,0.13807821
7.4E-4,0.13807821
7.44E-4,0.13807821
7.48E-4,0.184309
7.52E-4,0.184309
7.56E-4,0.184309
7.6E-4,0.23054075
7.64E-4,0.23054075
7.68E-4,0.23054075
7.72E-4,0.23054075
7.76E-4,0.27677202
7.8E-4,0.27677202
7.84E-4,0.27677202
7.88E-4,0.27677202
7.92E-4,0.3230033
7.96E-4,0.3230033
8.0E-4,0.3230033
8.04E-4,0.3230033
8.08E-4,0.36923456
8.12E-4,0.36923456
8.16E-4,0.36923456
8.2E-4,0.36923456
8.24E-4,0.4154663
8.28E-4,0.4154663
8.32E-4,0.4154663
8.36E-4,0.46169758
8.4E-4,0.46169758
8.44E-4,0.46169758
8.48E-4,0.46169758
8.52E-4,0.50792885
8.56E-4,0.50792885
8.6E-4,0.50792885
8.64E-4,0.50792885
8.68E-4,0.5541601
8.72E-4,0.5541601
8.76E-4,0.5541601
8.8E-4,0.5541601
8.84E-4,0.60039186
8.88E-4,0.60039186
8.92E-4,0.60039186
8.96E-4,0.60039186
9.0E-4,0.64662313
9.04E-4,0.64662313
9.08E-4,0.64662313
9.12E-4,0.64662313
9.16E-4,0.6928544
9.2E-4,0.6928544
9.24E-4,0.6928544
9.28E-4,0.7390857
9.32E-4,0.7390857
9.36E-4,0.7390857
9.4E-4,0.7390857
9.4399997E-4,0.7853174
9.48E-4,0.7853174
9.52E-4,0.7853174
9.56E-4,0.7853174
9.6E-4,0.8315482
9.64E-4,0.8315482
9.68E-4,0.8315482
9.72E-4,0.8315482
9.76E-4,0.87777996
9.8E-4,0.87777996
9.84E-4,0.87777996
9.88E-4,0.87777996
9.92E-4,0.92401123
9.96E-4,0.92401123
0.001,0.92401123
0.001004,0.92401123
0.001008,0.970243
0.001012,0.970243
0.001016,0.970243
0.00102,0.970243
0.001024,1.0164738
0.001028,1.0164738
0.001032,1.0164738
0.001036,1.0164738
0.00104,1.0627055
0.001044,1.0627055
0.001048,1.0627055
0.001052,1.0627055
0.001056,1.1089368
0.00106,1.1089368
0.001064,1.1089368
0.001068,1.1551685
0.001072,1.1551685
0.001076,1.1551685
0.00108,1.1551685
0.001084,1.2013993
0.001088,1.2013993
0.001092,1.2013993
0.001096,1.2013993
0.0011,1.2476311
0.001104,1.2476311
0.001108,1.2476311
0.001112,1.2476311
0.001116,1.2938623
0.00112,1.2938623
0.001124,1.2938623
0.001128,1.2938623
0.001132,1.3400936
0.001136,1.3400936
0.00114,1.3400936
0.001144,1.3400936
0.001148,1.3863249
0.001152,1.3863249
0.001156,1.3863249
0.00116,1.3863249
0.001164,1.4325566
0.001168,1.4325566
0.001172,1.4325566
0.001176,1.4325566
0.00118,1.4787879
0.001184,1.4787879
0.001188,1.4787879
0.001192,1.4787879
0.001196,1.4787879
0.0011999999,1.4787879
0.001204,1.4787879
0.001208,1.5250192
0.001212,1.5250192
0.001216,1.5250192
0.00122,1.5250192
0.001224,1.5712504
0.001228,1.5712504
0.001232,1.5712504
0.001236,1.5712504
0.00124,1.6174817
0.001244,1.6174817
0.001248,1.6174817
0.001252,1.6174817
0.001256,1.6637135
0.00126,1.6637135
0.001264,1.6637135
0.001268,1.6637135
0.001272,1.7099442
0.001276,1.7099442
0.00128,1.7099442
0.001284,1.7099442
0.001288,1.756176
0.001292,1.756176
0.001296,1.756176
0.0013,1.756176
0.001304,1.756176
0.001308,1.756176
0.001312,1.756176
0.001316,1.7099442
0.00132,1.7099442
0.001324,1.7099442
0.001328,1.7099442
0.001332,1.6637135
0.001336,1.6637135
0.00134,1.6637135
0.001344,1.6174817
0.001348,1.6174817
0.001352,1.6174817
0.001356,1.6174817
0.00136,1.5712504
0.001364,1.5712504
0.0013679999,1.5712504
0.001372,1.5712504
0.001376,1.5250192
0.00138,1.5250192
0.001384,1.5250192
0.001388,1.4787879
0.001392,1.4787879
0.001396,1.4787879
0.0014,1.4787879
0.001404,1.4787879
0.001408,1.4787879
0.001412,1.4325566
0.001416,1.4325566
0.00142,1.4325566
0.001424,1.3863249
0.001428,1.3863249
0.001432,1.3863249
0.001436,1.3863249
