Time,CH1
0.0,4.0215135
2.0E-6,4.437596
4.0E-6,4.7612157
6.0E-6,4.8999095
8.0E-6,4.946141
1.0E-5,4.8536773
1.2E-5,4.622521
1.4E-5,4.298901
1.6E-5,3.7903562
1.8E-5,3.1893477
2.0E-5,2.542109
2.2E-5,1.756176
2.4E-5,1.0164738
2.6E-5,0.184309
2.8E-5,-0.6478553
3.0E-5,-1.48002
3.2E-5,-2.2197218
3.4E-5,-2.9131925
3.6E-5,-3.5604317
3.8E-5,-4.068977
4.0E-5,-4.4850593
4.2E-5,-4.7624474
4.4E-5,-4.9011416
4.6E-5,-4.947373
4.8E-5,-4.8086786
5.0E-5,-4.577522
5.2E-5,-4.2539024
5.4E-5,-3.745357
5.6E-5,-3.1443493
5.8E-5,-2.4971101
6.0E-5,-1.7111769
6.2E-5,-0.9714751
6.4E-5,-0.13931036
6.6E-5,0.6928544
6.8E-5,1.4787879
7.0E-5,2.2647214
7.2E-5,2.9581914
7.4E-5,3.5591989
7.6E-5,4.113976
7.8E-5,4.483826
8.0E-5,4.7612157
8.2E-5,4.946141
8.4E-5,4.946141
8.6E-5,4.8536773
8.8E-5,4.622521
9.0E-5,4.252671
9.2E-5,3.7903562
9.4E-5,3.1893477
9.6E-5,2.542109
9.8E-5,1.8024073
1.0E-4,1.0164738
1.02E-4,0.23054075
1.04E-4,-0.601624
1.06E-4,-1.387557
1.08E-4,-2.1272593
1.1E-4,-2.8207297
1.12E-4,-3.467969
1.14E-4,-4.022745
1.16E-4,-4.4388275
1.17999996E-4,-4.716216
1.2E-4,-4.9011416
1.22E-4,-4.947373
1.24E-4,-4.85491
1.26E-4,-4.669985
1.28E-4,-4.346365
1.3E-4,-3.8840513
1.32E-4,-3.3755062
1.34E-4,-2.728267
1.36E-4,-1.9885652
1.38E-4,-1.2488632
1.4E-4,-0.46292973
1.42E-4,0.36923456
1.44E-4,1.1551685
1.46E-4,1.9411016
1.48E-4,2.6345725
1.4999999E-4,3.2818112
1.52E-4,3.8365874
1.54E-4,4.298901
1.56E-4,4.622521
1.58E-4,4.8536773
1.6E-4,4.946141
1.62E-4,4.946141
1.64E-4,4.7612157
1.66E-4,4.483826
1.68E-4,4.113976
1.7E-4,3.605431
1.72E-4,3.0044227
1.74E-4,2.3109517
1.76E-4,1.6174817
1.78E-4,0.8315482
1.8E-4,0.045615196
1.82E-4,-0.7403178
1.84E-4,-1.5262513
1.86E-4,-2.2197218
1.88E-4,-2.9131925
1.9E-4,-3.5604317
1.92E-4,-4.068977
1.94E-4,-4.4388275
1.96E-4,-4.716216
1.98E-4,-4.9011416
2.0E-4,-4.947373
2.02E-4,-4.85491
2.04E-4,-4.669985
2.06E-4,-4.3925962
2.08E-4,-3.9302826
2.1E-4,-3.4217377
2.12E-4,-2.7744985
2.14E-4,-2.081028
2.16E-4,-1.387557
2.18E-4,-0.601624
2.2E-4,0.184309
2.22E-4,0.970243
2.24E-4,1.7099442
2.26E-4,2.4496465
2.28E-4,3.0968862
2.3E-4,3.6978936
2.32E-4,4.1602073
2.34E-4,4.5300584
2.3599999E-4,4.807446
2.38E-4,4.946141
2.4E-4,4.946141
2.42E-4,4.8536773
2.44E-4,4.622521
2.46E-4,4.3451324
2.48E-4,3.8828197
2.5E-4,3.3742738
2.52E-4,2.727035
2.54E-4,2.033564
2.56E-4,1.3400936
2.58E-4,0.5541601
2.6E-4,-0.2317729
2.62E-4,-0.9714751
2.64E-4,-1.7111769
2.66E-4,-2.4046474
2.68E-4,-3.0518866
2.7E-4,-3.6528945
2.72E-4,-4.115208
2.74E-4,-4.4850593
2.76E-4,-4.7624474
2.78E-4,-4.9011416
2.8E-4,-4.947373
2.82E-4,-4.85491
2.84E-4,-4.669985
2.86E-4,-4.3925962
2.88E-4,-3.976514
2.9E-4,-3.467969
2.92E-4,-2.866961
2.94E-4,-2.1734905
2.96E-4,-1.48002
2.98E-4,-0.7403178
2.9999999E-4,0.045615196
3.02E-4,0.8315482
3.04E-4,1.5250192
3.06E-4,2.2647214
3.08E-4,2.9119601
3.1E-4,3.5129685
3.12E-4,4.0215135
3.14E-4,4.3913646
3.16E-4,4.668752
3.18E-4,4.8999095
3.2E-4,4.946141
3.22E-4,4.946141
3.24E-4,4.7612157
3.26E-4,4.483826
3.28E-4,4.1602073
3.3E-4,3.6978936
3.32E-4,3.1431174
3.34E-4,2.4958777
3.36E-4,1.8486385
3.38E-4,1.1551685
3.4E-4,0.36923456
3.4199998E-4,-0.3704667
3.44E-4,-1.1101689
3.46E-4,-1.8036394
3.48E-4,-2.4971101
3.5E-4,-3.1443493
3.52E-4,-3.6991258
3.54E-4,-4.1614394
3.56E-4,-4.4850593
3.58E-4,-4.7624474
3.6E-4,-4.9011416
3.62E-4,-4.947373
3.64E-4,-4.9011416
3.66E-4,-4.716216
3.68E-4,-4.4388275
3.7E-4,-4.068977
3.72E-4,-3.6066632
3.74E-4,-3.0518866
3.76E-4,-2.4046474
3.78E-4,-1.7111769
3.8E-4,-1.0177064
3.82E-4,-0.27800417
3.84E-4,0.46169758
3.86E-4,1.2013993
3.88E-4,1.8948698
3.9E-4,2.542109
3.92E-4,3.1431174
3.94E-4,3.6978936
3.96E-4,4.1602073
3.98E-4,4.483826
4.0E-4,4.7612157
4.02E-4,4.8999095
4.04E-4,4.992371
4.06E-4,4.8999095
4.08E-4,4.7612157
4.1E-4,4.483826
4.12E-4,4.113976
4.14E-4,3.6978936
4.16E-4,3.1431174
4.18E-4,2.542109
4.2E-4,1.8948698
4.22E-4,1.2013993
4.24E-4,0.50792885
4.26E-4,-0.2317729
4.28E-4,-0.9714751
4.3E-4,-1.6649456
4.32E-4,-2.3121846
4.34E-4,-2.9131925
4.36E-4,-3.5142004
4.38E-4,-3.976514
4.4E-4,-4.3925962
4.42E-4,-4.669985
4.44E-4,-4.85491
4.46E-4,-4.947373
4.48E-4,-4.947373
4.5E-4,-4.85491
4.52E-4,-4.623753
4.54E-4,-4.346365
4.56E-4,-3.9302826
4.58E-4,-3.467969
4.6E-4,-2.9131925
4.62E-4,-2.3121846
4.64E-4,-1.6187139
4.66E-4,-0.9714751
4.68E-4,-0.2317729
4.7E-4,0.46169758
4.7199999E-4,1.2013993
4.74E-4,1.8486385
4.76E-4,2.4958777
4.78E-4,3.0968862
4.8E-4,3.605431
4.82E-4,4.0677447
4.84E-4,4.437596
4.86E-4,4.668752
4.88E-4,4.8536773
4.9E-4,4.946141
4.92E-4,4.946141
4.94E-4,4.8536773
4.96E-4,4.622521
4.98E-4,4.3451324
5.0E-4,3.9752812
5.02E-4,3.5129685
5.04E-4,2.9581914
5.06E-4,2.357184
5.08E-4,1.7099442
5.1E-4,1.0627055
5.12E-4,0.36923456
5.14E-4,-0.32423592
5.16E-4,-1.0177064
5.18E-4,-1.6649456
5.2E-4,-2.3121846
5.22E-4,-2.9131925
5.24E-4,-3.467969
5.26E-4,-3.9302826
5.28E-4,-4.3001337
5.3E-4,-4.577522
5.32E-4,-4.8086786
5.34E-4,-4.947373
5.36E-4,-4.947373
5.38E-4,-4.9011416
5.4E-4,-4.716216
5.42E-4,-4.4850593
5.44E-4,-4.1614394
5.46E-4,-3.745357
5.48E-4,-3.2830436
5.5E-4,-2.728267
5.52E-4,-2.1272593
5.54E-4,-1.48002
5.56E-4,-0.83278084
5.58E-4,-0.13931036
5.6E-4,0.5541601
5.62E-4,1.2013993
5.64E-4,1.8486385
5.66E-4,2.4496465
5.68E-4,3.050654
5.7E-4,3.5591989
5.72E-4,3.9752812
5.74E-4,4.3451324
5.76E-4,4.622521
5.78E-4,4.8536773
5.8E-4,4.946141
5.82E-4,4.992371
5.84E-4,4.8999095
5.86E-4,4.7612157
5.88E-4,4.5300584
5.9E-4,4.2064385
5.92E-4,3.7903562
5.94E-4,3.3280425
5.96E-4,2.8194976
5.98E-4,2.2184901
5.9999997E-4,1.6174817
6.02E-4,1.0164738
6.04E-4,0.3230033
6.06E-4,-0.32423592
6.08E-4,-0.9714751
6.1E-4,-1.6187139
6.12E-4,-2.2197218
6.14E-4,-2.7744985
6.16E-4,-3.329275
6.18E-4,-3.7915885
6.2E-4,-4.2076707
6.22E-4,-4.4850593
6.24E-4,-4.716216
6.26E-4,-4.9011416
6.28E-4,-4.947373
6.3E-4,-4.947373
6.32E-4,-4.85491
6.34E-4,-4.669985
6.36E-4,-4.4388275
6.38E-4,-4.115208
6.4E-4,-3.6991258
6.42E-4,-3.236812
6.44E-4,-2.728267
6.46E-4,-2.1272593
6.48E-4,-1.5262513
6.5E-4,-0.9252434
6.52E-4,-0.27800417
6.54E-4,0.36923456
6.56E-4,1.0164738
6.58E-4,1.6174817
6.6E-4,2.2184901
6.62E-4,2.7732663
6.64E-4,3.2818112
6.66E-4,3.744125
6.68E-4,4.1602073
6.7E-4,4.437596
6.72E-4,4.668752
6.74E-4,4.8536773
6.76E-4,4.946141
6.78E-4,4.992371
6.8E-4,4.8999095
6.82E-4,4.7612157
6.8399997E-4,4.5300584
6.86E-4,4.252671
6.88E-4,3.8828197
6.9E-4,3.4667363
6.92E-4,3.0044227
6.94E-4,2.4496465
6.96E-4,1.8948698
6.98E-4,1.2938623
7.0E-4,0.6928544
7.02E-4,0.091846466
7.04E-4,-0.55539227
7.06E-4,-1.1564007
7.08E-4,-1.7574081
7.1E-4,-2.3121846
7.12E-4,-2.866961
7.14E-4,-3.329275
7.16E-4,-3.7915885
7.18E-4,-4.1614394
7.2E-4,-4.4388275
7.22E-4,-4.669985
7.24E-4,-4.85491
7.26E-4,-4.947373
7.28E-4,-4.947373
7.2999997E-4,-4.9011416
7.32E-4,-4.7624474
7.34E-4,-4.577522
7.36E-4,-4.346365
7.38E-4,-3.976514
7.4E-4,-3.6066632
7.42E-4,-3.1443493
7.44E-4,-2.6358042
7.46E-4,-2.1272593
7.48E-4,-1.5262513
7.5E-4,-0.9714751
7.52E-4,-0.3704667
7.54E-4,0.23054075
7.56E-4,0.87777996
7.58E-4,1.4325566
7.6E-4,1.9873328
7.62E-4,2.542109
7.64E-4,3.050654
7.66E-4,3.5129685
7.68E-4,3.8828197
7.7E-4,4.252671
7.72E-4,4.483826
7.74E-4,4.7149835
7.76E-4,4.8999095
7.78E-4,4.992371
7.8E-4,4.992371
7.82E-4,4.946141
7.84E-4,4.807446
7.86E-4,4.622521
7.88E-4,4.3913646
7.9E-4,4.0677447
7.92E-4,3.6978936
7.94E-4,3.23558
7.96E-4,2.7732663
7.98E-4,2.2647214
8.0E-4,1.756176
8.02E-4,1.2013993
8.04E-4,0.64662313
8.06E-4,0.045615196
8.08E-4,-0.55539227
8.1E-4,-1.1101689
8.12E-4,-1.6649456
8.1399997E-4,-2.1734905
8.16E-4,-2.6820357
8.18E-4,-3.1905808
8.2E-4,-3.6066632
8.22E-4,-3.976514
8.24E-4,-4.3001337
8.26E-4,-4.5312905
8.28E-4,-4.7624474
8.3E-4,-4.9011416
8.32E-4,-4.947373
8.34E-4,-4.993604
8.36E-4,-4.9011416
8.38E-4,-4.8086786
8.4E-4,-4.623753
8.42E-4,-4.3925962
8.44E-4,-4.115208
8.46E-4,-3.745357
8.48E-4,-3.3755062
8.5E-4,-2.9131925
8.52E-4,-2.4508786
8.54E-4,-1.9423337
8.56E-4,-1.4337888
8.58E-4,-0.8790121
8.6E-4,-0.32423592
8.62E-4,0.27677202
8.64E-4,0.8315482
8.66E-4,1.3400936
8.68E-4,1.8486385
8.7E-4,2.357184
8.72E-4,2.8657289
8.74E-4,3.2818112
8.76E-4,3.6978936
8.78E-4,4.0215135
8.8E-4,4.3451324
8.82E-4,4.5762897
8.84E-4,4.7612157
8.86E-4,4.8999095
8.88E-4,4.992371
8.9E-4,4.992371
8.92E-4,4.946141
8.94E-4,4.8536773
8.96E-4,4.668752
8.9799997E-4,4.483826
9.0E-4,4.2064385
9.02E-4,3.92905
9.04E-4,3.5591989
9.06E-4,3.1431174
9.08E-4,2.727035
9.1E-4,2.2184901
9.12E-4,1.756176
9.14E-4,1.2476311
9.16E-4,0.7390857
9.18E-4,0.184309
9.2E-4,-0.3704667
9.22E-4,-0.8790121
9.24E-4,-1.387557
9.26E-4,-1.8961024
9.28E-4,-2.3584158
9.3E-4,-2.8207297
9.32E-4,-3.236812
