Time,CH1
0.0,0.7853174
2.0E-6,1.2476311
4.0E-6,1.6174817
6.0E-6,2.0797954
8.0E-6,2.4958777
1.0E-5,2.9119601
1.2E-5,3.2818112
1.4E-5,3.6978936
1.6E-5,4.0677447
1.8E-5,4.3913646
2.0E-5,4.668752
2.2E-5,4.946141
2.4E-5,5.177297
2.6E-5,5.4084544
2.8E-5,5.547148
3.0E-5,5.685843
3.2E-5,5.7320733
3.4E-5,5.7783055
3.6E-5,5.824537
3.8E-5,5.824537
4.0E-5,5.7320733
4.2E-5,5.5933795
4.4E-5,5.4084544
4.6E-5,5.2235284
4.8E-5,4.946141
5.0E-5,4.668752
5.2E-5,4.3913646
5.4E-5,4.0677447
5.6E-5,3.6978936
5.8E-5,3.3280425
6.0E-5,2.9119601
6.2E-5,2.4958777
6.4E-5,2.0797954
6.6E-5,1.6637135
6.8E-5,1.2476311
7.0E-5,0.8315482
7.2E-5,0.4154663
7.4E-5,-6.160736E-4
7.6E-5,-0.3704667
7.8E-5,-0.7403178
8.0E-5,-1.1101689
8.2E-5,-1.4337888
8.4E-5,-1.6649456
8.6E-5,-1.9423337
8.8E-5,-2.1272593
9.0E-5,-2.3121846
9.2E-5,-2.4508786
9.4E-5,-2.5433414
9.6E-5,-2.6358042
9.8E-5,-2.6358042
1.0E-4,-2.589573
1.02E-4,-2.5433414
1.04E-4,-2.4046474
1.06E-4,-2.2659533
1.08E-4,-2.081028
1.1E-4,-1.8036394
1.12E-4,-1.5724826
1.14E-4,-1.2950945
1.16E-4,-0.9252434
1.17999996E-4,-0.601624
1.2E-4,-0.2317729
1.22E-4,0.184309
1.24E-4,0.60039186
1.26E-4,1.0164738
1.28E-4,1.4325566
1.3E-4,1.8486385
1.32E-4,2.2647214
1.34E-4,2.6808028
1.36E-4,3.0968862
1.38E-4,3.5129685
1.4E-4,3.8828197
1.42E-4,4.2064385
1.44E-4,4.5300584
1.46E-4,4.807446
1.48E-4,5.0848346
1.4999999E-4,5.315992
1.52E-4,5.500917
1.54E-4,5.5933795
1.56E-4,5.7320733
1.58E-4,5.7783055
1.6E-4,5.824537
1.62E-4,5.824537
1.64E-4,5.7783055
1.66E-4,5.685843
1.68E-4,5.500917
1.7E-4,5.315992
1.72E-4,5.0848346
1.74E-4,4.807446
1.76E-4,4.5300584
1.78E-4,4.2064385
