Time,CH1
0.0,2.126027
2.0E-6,2.4034152
4.0E-6,2.6808028
6.0E-6,2.9581914
8.0E-6,3.23558
1.0E-5,3.5129685
1.2E-5,3.8365874
1.4E-5,4.113976
1.6E-5,4.3913646
1.8E-5,4.622521
2.0E-5,4.946141
2.2E-5,4.8999095
2.4E-5,4.622521
2.6E-5,4.3913646
2.8E-5,4.113976
3.0E-5,3.8365874
3.2E-5,3.5591989
3.4E-5,3.2818112
3.6E-5,3.0044227
3.8E-5,2.727035
4.0E-5,2.4496465
4.2E-5,2.172258
4.4E-5,1.8948698
4.6E-5,1.6174817
4.8E-5,1.3863249
5.0E-5,1.1089368
5.2E-5,0.7853174
5.4E-5,0.50792885
5.6E-5,0.23054075
5.8E-5,-0.046847343
6.0E-5,-0.32423592
6.2E-5,-0.601624
6.4E-5,-0.8790121
6.6E-5,-1.202632
6.8E-5,-1.48002
7.0E-5,-1.7111769
7.2E-5,-1.7111769
7.4E-5,-1.48002
7.6E-5,-1.202632
7.8E-5,-0.9252434
8.0E-5,-0.6478553
8.2E-5,-0.3704667
8.4E-5,-0.09307861
8.6E-5,0.184309
8.8E-5,0.46169758
9.0E-5,0.7390857
9.2E-5,1.0164738
9.4E-5,1.2938623
9.6E-5,1.5712504
9.8E-5,1.8486385
1.0E-4,2.126027
1.02E-4,2.4034152
1.04E-4,2.6808028
1.06E-4,2.9581914
1.08E-4,3.23558
1.1E-4,3.5129685
1.12E-4,3.8365874
1.14E-4,4.113976
1.16E-4,4.3913646
1.17999996E-4,4.622521
1.2E-4,4.946141
1.22E-4,4.8999095
1.24E-4,4.622521
1.26E-4,4.3913646
1.28E-4,4.113976
1.3E-4,3.8365874
1.32E-4,3.5591989
1.34E-4,3.2818112
1.36E-4,3.0044227
1.38E-4,2.727035
1.4E-4,2.4496465
1.42E-4,2.172258
1.44E-4,1.8948698
1.46E-4,1.6174817
1.48E-4,1.3863249
1.4999999E-4,1.1089368
1.52E-4,0.7853174
1.54E-4,0.50792885
1.56E-4,0.23054075
1.58E-4,-0.046847343
1.6E-4,-0.32423592
1.62E-4,-0.601624
1.64E-4,-0.8790121
1.66E-4,-1.202632
1.68E-4,-1.48002
1.7E-4,-1.7111769
1.72E-4,-1.7111769
1.74E-4,-1.48002
1.76E-4,-1.202632
