Time,CH1
0.0,-6.160736E-4
2.0E-6,0.5541601
4.0E-6,1.1089368
6.0E-6,1.6174817
8.0E-6,2.126027
1.0E-5,2.5883412
1.2E-5,3.0044227
1.4E-5,3.420505
1.6E-5,3.744125
1.8E-5,4.0215135
2.0E-5,4.252671
2.2E-5,4.3913646
2.4E-5,4.437596
2.6E-5,4.483826
2.8E-5,4.437596
3.0E-5,4.298901
3.2E-5,4.113976
3.4E-5,3.8365874
3.6E-5,3.5129685
3.8E-5,3.0968862
4.0E-5,2.6808028
4.2E-5,2.172258
4.4E-5,1.6637135
4.6E-5,1.1089368
4.8E-5,0.5541601
5.0E-5,-0.046847343
5.2E-5,-0.6478553
5.4E-5,-1.202632
5.6E-5,-1.7574081
5.8E-5,-2.2659533
6.0E-5,-2.7744985
6.2E-5,-3.236812
6.4E-5,-3.6066632
6.6E-5,-3.9302826
6.8E-5,-4.2076707
7.0E-5,-4.346365
7.2E-5,-4.4388275
7.4E-5,-4.4388275
7.6E-5,-4.4388275
7.8E-5,-4.2539024
8.0E-5,-4.068977
8.2E-5,-3.745357
8.4E-5,-3.3755062
8.6E-5,-2.9594238
8.8E-5,-2.4508786
9.0E-5,-1.8961024
9.2E-5,-1.3413262
9.4E-5,-0.7403178
9.6E-5,-0.09307861
9.8E-5,0.50792885
1.0E-4,1.1551685
1.02E-4,1.7099442
1.04E-4,2.2647214
1.06E-4,2.7732663
1.08E-4,3.2818112
1.1E-4,3.6516623
1.12E-4,3.9752812
1.14E-4,4.252671
1.16E-4,4.3913646
1.17999996E-4,4.437596
1.2E-4,4.437596
1.22E-4,4.3451324
1.24E-4,4.1602073
1.26E-4,3.8828197
1.28E-4,3.5591989
1.3E-4,3.0968862
1.32E-4,2.5883412
1.34E-4,2.033564
1.36E-4,1.4787879
1.38E-4,0.8315482
1.4E-4,0.184309
1.42E-4,-0.46292973
1.44E-4,-1.1101689
1.46E-4,-1.6649456
1.48E-4,-2.2659533
