Time,CH1
0.0,0.50792885
2.0E-6,1.5250192
4.0E-6,2.4958777
6.0E-6,3.3742738
8.0E-6,4.2064385
1.0E-5,4.8999095
1.2E-5,5.500917
1.4E-5,5.824537
1.6E-5,5.9169993
1.8E-5,5.9169993
2.0E-5,5.9169993
2.2E-5,5.9169993
2.4E-5,5.9169993
2.6E-5,5.824537
2.8E-5,4.8536773
3.0E-5,4.113976
3.2E-5,3.2818112
3.4E-5,2.357184
3.6E-5,1.3863249
3.8E-5,0.36923456
4.0E-5,-0.6478553
4.2E-5,-1.6187139
4.4E-5,-2.589573
4.6E-5,-3.5142004
4.8E-5,-4.346365
5.0E-5,-4.993604
5.2E-5,-5.548381
5.4E-5,-5.7795377
5.6E-5,-5.825769
5.8E-5,-5.825769
6.0E-5,-5.825769
6.2E-5,-5.825769
6.4E-5,-5.825769
6.6E-5,-5.7795377
6.8E-5,-4.716216
7.0E-5,-3.976514
7.2E-5,-3.1443493
7.4E-5,-2.2197218
7.6E-5,-1.202632
7.8E-5,-0.18554163
8.0E-5,0.8315482
8.2E-5,1.8024073
8.4E-5,2.7732663
8.6E-5,3.6516623
8.8E-5,4.437596
9.0E-5,5.131067
9.2E-5,5.6396117
9.4E-5,5.870768
9.6E-5,5.9169993
9.8E-5,5.9169993
1.0E-4,5.9169993
1.02E-4,5.9169993
1.04E-4,5.9169993
1.06E-4,5.685843
1.08E-4,4.622521
1.1E-4,3.8365874
1.12E-4,3.0044227
1.14E-4,2.033564
1.16E-4,1.0627055
1.17999996E-4,0.045615196
1.2E-4,-0.9714751
1.22E-4,-1.9423337
1.24E-4,-2.866961
1.26E-4,-3.7915885
1.28E-4,-4.5312905
1.3E-4,-5.1785297
1.32E-4,-5.6408434
1.34E-4,-5.7795377
1.36E-4,-5.825769
1.38E-4,-5.825769
1.4E-4,-5.825769
1.42E-4,-5.825769
1.44E-4,-5.825769
1.46E-4,-5.6408434
1.48E-4,-4.4850593
1.4999999E-4,-3.6991258
1.52E-4,-2.866961
1.54E-4,-1.8961024
1.56E-4,-0.8790121
1.58E-4,0.13807821
1.6E-4,1.1551685
1.62E-4,2.126027
1.64E-4,3.050654
1.66E-4,3.92905
1.68E-4,4.668752
1.7E-4,5.315992
1.72E-4,5.7320733
1.74E-4,5.9169993
1.76E-4,5.9169993
1.78E-4,5.9169993
1.8E-4,5.9169993
1.82E-4,5.9169993
1.84E-4,5.9169993
1.86E-4,5.2235284
1.88E-4,4.3913646
1.9E-4,3.605431
1.92E-4,2.6808028
1.94E-4,1.7099442
1.96E-4,0.7390857
1.98E-4,-0.27800417
2.0E-4,-1.2950945
2.02E-4,-2.2197218
2.04E-4,-3.1905808
2.06E-4,-4.022745
2.08E-4,-4.7624474
2.1E-4,-5.3634553
2.12E-4,-5.733306
2.14E-4,-5.7795377
2.16E-4,-5.825769
2.18E-4,-5.825769
2.2E-4,-5.825769
2.22E-4,-5.825769
2.24E-4,-5.7795377
2.26E-4,-5.0860667
2.28E-4,-4.2539024
2.3E-4,-3.467969
2.32E-4,-2.5433414
2.34E-4,-1.5724826
2.3599999E-4,-0.55539227
2.38E-4,0.46169758
2.4E-4,1.4787879
2.42E-4,2.4496465
2.44E-4,3.3742738
2.46E-4,4.2064385
2.48E-4,4.8999095
2.5E-4,5.4546857
2.52E-4,5.824537
2.54E-4,5.9169993
2.56E-4,5.9169993
2.58E-4,5.9169993
2.6E-4,5.9169993
2.62E-4,5.9169993
2.64E-4,5.870768
2.66E-4,4.8999095
2.68E-4,4.1602073
2.7E-4,3.3280425
2.72E-4,2.4034152
2.74E-4,1.4325566
2.76E-4,0.4154663
2.78E-4,-0.601624
2.8E-4,-1.5724826
2.82E-4,-2.5433414
2.84E-4,-3.467969
2.86E-4,-4.3001337
2.88E-4,-4.993604
2.9E-4,-5.502149
2.92E-4,-5.7795377
2.94E-4,-5.825769
2.96E-4,-5.825769
2.98E-4,-5.825769
2.9999999E-4,-5.825769
3.02E-4,-5.825769
3.04E-4,-5.7795377
3.06E-4,-4.7624474
3.08E-4,-4.022745
3.1E-4,-3.1905808
3.12E-4,-2.2659533
3.14E-4,-1.2488632
3.16E-4,-0.2317729
3.18E-4,0.7853174
3.2E-4,1.756176
3.22E-4,2.727035
3.24E-4,3.6516623
3.26E-4,4.437596
3.28E-4,5.0848346
3.3E-4,5.5933795
3.32E-4,5.870768
3.34E-4,5.9169993
3.36E-4,5.9169993
3.38E-4,5.9169993
3.4E-4,5.9169993
3.4199998E-4,5.9169993
3.44E-4,5.7320733
3.46E-4,4.622521
3.48E-4,3.8828197
3.5E-4,3.0044227
3.52E-4,2.0797954
3.54E-4,1.1089368
3.56E-4,0.091846466
3.58E-4,-0.9252434
3.6E-4,-1.8961024
3.62E-4,-2.866961
3.64E-4,-3.745357
3.66E-4,-4.4850593
3.68E-4,-5.1785297
3.7E-4,-5.6408434
3.72E-4,-5.7795377
3.74E-4,-5.825769
3.76E-4,-5.825769
3.78E-4,-5.825769
3.8E-4,-5.825769
3.82E-4,-5.825769
3.84E-4,-5.6870747
3.86E-4,-4.5312905
3.88E-4,-3.745357
3.9E-4,-2.866961
3.92E-4,-1.9423337
3.94E-4,-0.9252434
3.96E-4,0.091846466
3.98E-4,1.1089368
4.0E-4,2.0797954
4.02E-4,3.0044227
4.04E-4,3.8828197
4.06E-4,4.622521
4.08E-4,5.2697606
4.1E-4,5.7320733
4.12E-4,5.870768
4.14E-4,5.9169993
4.16E-4,5.9169993
4.18E-4,5.9169993
4.2E-4,5.9169993
4.22E-4,5.9169993
4.24E-4,5.315992
4.26E-4,4.437596
4.28E-4,3.605431
4.3E-4,2.727035
4.32E-4,1.756176
4.34E-4,0.7853174
4.36E-4,-0.2317729
4.38E-4,-1.2488632
4.4E-4,-2.2197218
4.42E-4,-3.1443493
4.44E-4,-3.976514
4.46E-4,-4.716216
4.48E-4,-5.3634553
4.5E-4,-5.733306
4.52E-4,-5.7795377
4.54E-4,-5.825769
4.56E-4,-5.825769
4.58E-4,-5.825769
4.6E-4,-5.825769
4.62E-4,-5.7795377
4.64E-4,-5.1322985
4.66E-4,-4.3001337
4.68E-4,-3.5142004
4.7E-4,-2.589573
4.7199999E-4,-1.6187139
4.74E-4,-0.601624
4.76E-4,0.4154663
4.78E-4,1.4325566
4.8E-4,2.4034152
4.82E-4,3.3280425
4.84E-4,4.1602073
4.86E-4,4.8536773
4.88E-4,2.2647214
4.9E-4,-1.202632
4.92E-4,-4.5312905
4.94E-4,-5.7795377
4.96E-4,-5.825769
4.98E-4,-5.825769
5.0E-4,-5.825769
5.02E-4,-5.7795377
5.04E-4,-4.7624474
5.06E-4,-4.068977
5.08E-4,-3.236812
5.1E-4,-2.3584158
5.12E-4,-1.387557
5.14E-4,-0.3704667
5.16E-4,0.64662313
5.18E-4,1.6174817
5.2E-4,2.5883412
5.22E-4,3.5129685
5.24E-4,4.3451324
5.26E-4,4.992371
5.28E-4,5.547148
5.3E-4,5.824537
5.32E-4,5.9169993
5.34E-4,5.9169993
5.36E-4,5.9169993
5.38E-4,5.9169993
5.4E-4,5.9169993
5.42E-4,5.824537
5.44E-4,4.807446
5.46E-4,4.0677447
5.48E-4,3.23558
5.5E-4,2.3109517
5.52E-4,1.3400936
5.54E-4,0.3230033
5.56E-4,-0.694087
5.58E-4,-1.6649456
5.6E-4,-2.6358042
5.62E-4,-3.5604317
5.64E-4,-4.346365
5.66E-4,-5.0398355
5.68E-4,-5.548381
5.7E-4,-5.7795377
5.72E-4,-5.825769
5.74E-4,-5.825769
5.76E-4,-5.825769
5.78E-4,-5.825769
5.8E-4,-5.825769
5.82E-4,-5.7795377
5.84E-4,-4.669985
5.86E-4,-3.9302826
5.88E-4,-3.098118
5.9E-4,-2.1272593
5.92E-4,-1.1564007
5.94E-4,-0.13931036
5.96E-4,0.87777996
5.98E-4,1.8948698
5.9999997E-4,2.8194976
6.02E-4,3.6978936
6.04E-4,4.483826
6.06E-4,5.177297
6.08E-4,5.6396117
6.1E-4,5.870768
6.12E-4,5.9169993
6.14E-4,5.9169993
6.16E-4,5.9169993
6.18E-4,5.9169993
6.2E-4,5.9169993
6.22E-4,5.6396117
6.24E-4,4.5762897
6.26E-4,3.7903562
6.28E-4,2.9119601
6.3E-4,1.9873328
6.32E-4,1.0164738
6.34E-4,-6.160736E-4
6.36E-4,-1.0177064
6.38E-4,-1.9885652
6.4E-4,-2.9594238
6.42E-4,-3.8378198
6.44E-4,-4.577522
6.46E-4,-5.224761
6.48E-4,-5.6870747
6.5E-4,-5.7795377
6.52E-4,-5.825769
6.54E-4,-5.825769
6.56E-4,-5.825769
6.58E-4,-5.825769
6.6E-4,-5.7795377
6.62E-4,-5.548381
6.64E-4,-4.4388275
6.66E-4,-3.6528945
6.68E-4,-2.7744985
6.7E-4,-1.8498712
6.72E-4,-0.83278084
6.74E-4,0.184309
6.76E-4,1.2013993
6.78E-4,2.172258
6.8E-4,3.1431174
6.82E-4,3.9752812
6.8399997E-4,4.7149835
6.86E-4,5.315992
6.88E-4,5.7320733
6.9E-4,5.9169993
6.92E-4,5.9169993
6.94E-4,5.9169993
6.96E-4,5.9169993
6.98E-4,5.9169993
7.0E-4,5.9169993
7.02E-4,5.0848346
7.04E-4,4.3451324
7.06E-4,3.5591989
7.08E-4,2.6345725
7.1E-4,1.6637135
7.12E-4,0.6928544
7.14E-4,-0.32423592
7.16E-4,-1.3413262
7.18E-4,-2.3121846
7.2E-4,-3.236812
7.22E-4,-4.068977
7.24E-4,-4.8086786
7.26E-4,-5.4096866
7.28E-4,-5.733306
7.2999997E-4,-5.825769
7.32E-4,-5.825769
7.34E-4,-5.825769
7.36E-4,-5.825769
7.38E-4,-5.825769
7.4E-4,-5.7795377
7.42E-4,-4.993604
7.44E-4,-4.2076707
7.46E-4,-3.4217377
7.48E-4,-2.4971101
7.5E-4,-1.5262513
7.52E-4,-0.5091615
7.54E-4,0.50792885
7.56E-4,1.5250192
7.58E-4,2.4958777
7.6E-4,3.420505
7.62E-4,4.252671
7.64E-4,4.946141
7.66E-4,5.500917
7.68E-4,5.824537
7.7E-4,5.9169993
7.72E-4,5.9169993
7.74E-4,5.9169993
7.76E-4,5.9169993
7.78E-4,5.9169993
7.8E-4,5.824537
7.82E-4,4.8536773
7.84E-4,4.113976
7.86E-4,3.2818112
7.88E-4,2.357184
7.9E-4,1.3863249
7.92E-4,0.36923456
7.94E-4,-0.6478553
7.96E-4,-1.6187139
7.98E-4,-2.589573
8.0E-4,-3.5142004
8.02E-4,-4.346365
8.04E-4,-4.993604
8.06E-4,-5.548381
8.08E-4,-5.7795377
8.1E-4,-5.825769
8.12E-4,-5.825769
8.1399997E-4,-5.825769
8.16E-4,-5.825769
8.18E-4,-5.825769
8.2E-4,-5.7795377
8.22E-4,-4.716216
8.24E-4,-3.976514
8.26E-4,-3.1443493
8.28E-4,-2.1734905
8.3E-4,-1.202632
8.32E-4,-0.18554163
8.34E-4,0.8315482
8.36E-4,1.8486385
8.38E-4,2.7732663
8.4E-4,3.6978936
8.42E-4,4.437596
8.44E-4,5.131067
8.46E-4,5.6396117
8.48E-4,5.870768
8.5E-4,5.9169993
8.52E-4,5.9169993
8.54E-4,5.9169993
8.56E-4,5.9169993
8.58E-4,5.9169993
8.6E-4,5.685843
8.62E-4,4.5762897
8.64E-4,3.8365874
8.66E-4,2.9581914
8.68E-4,2.033564
8.7E-4,1.0627055
8.72E-4,0.045615196
8.74E-4,-0.9714751
8.76E-4,-1.9423337
8.78E-4,-2.9131925
8.8E-4,-3.7915885
