Time,CH1
0.0,3.9752812
2.0E-6,3.9752812
4.0E-6,3.9752812
6.0E-6,3.9752812
8.0E-6,3.9752812
1.0E-5,3.9752812
1.2E-5,3.9752812
1.4E-5,3.9752812
1.6E-5,3.9752812
1.8E-5,3.9752812
2.0E-5,3.9752812
2.2E-5,3.9752812
2.4E-5,3.9752812
2.6E-5,3.9752812
2.8E-5,3.9752812
3.0E-5,3.9752812
3.2E-5,3.9752812
3.4E-5,3.9752812
3.6E-5,3.9752812
3.8E-5,3.9752812
4.0E-5,3.9752812
4.2E-5,3.9752812
4.4E-5,3.9752812
4.6E-5,3.9752812
4.8E-5,3.9752812
5.0E-5,3.9752812
5.2E-5,3.9752812
5.4E-5,3.9752812
5.6E-5,3.9752812
5.8E-5,3.9752812
6.0E-5,3.9752812
6.2E-5,3.9752812
6.4E-5,3.9752812
6.6E-5,3.9752812
6.8E-5,3.9752812
7.0E-5,3.9752812
7.2E-5,3.9752812
7.4E-5,3.9752812
7.6E-5,3.9752812
7.8E-5,3.9752812
8.0E-5,3.9752812
8.2E-5,3.9752812
8.4E-5,3.9752812
8.6E-5,3.9752812
8.8E-5,3.9752812
9.0E-5,3.9752812
9.2E-5,3.9752812
9.4E-5,3.9752812
9.6E-5,3.9752812
9.8E-5,3.9752812
1.0E-4,3.9752812
1.02E-4,3.9752812
1.04E-4,3.9752812
1.06E-4,3.9752812
1.08E-4,3.9752812
1.1E-4,3.9752812
1.12E-4,3.9752812
1.14E-4,3.9752812
1.16E-4,3.9752812
1.17999996E-4,3.9752812
1.2E-4,3.9752812
1.22E-4,3.9752812
1.24E-4,3.9752812
1.26E-4,3.9752812
1.28E-4,3.9752812
1.3E-4,3.9752812
1.32E-4,3.9752812
1.34E-4,3.9752812
1.36E-4,3.9752812
1.38E-4,3.9752812
1.4E-4,3.9752812
1.42E-4,3.9752812
1.44E-4,3.9752812
1.46E-4,3.9752812
1.48E-4,3.9752812
1.4999999E-4,3.9752812
1.52E-4,3.9752812
1.54E-4,3.9752812
1.56E-4,3.9752812
1.58E-4,3.9752812
1.6E-4,3.9752812
1.62E-4,3.9752812
1.64E-4,3.9752812
1.66E-4,3.9752812
1.68E-4,3.9752812
1.7E-4,3.9752812
1.72E-4,3.9752812
1.74E-4,3.9752812
1.76E-4,3.9752812
1.78E-4,3.9752812
1.8E-4,3.9752812
1.82E-4,3.9752812
1.84E-4,3.9752812
1.86E-4,3.9752812
1.88E-4,3.9752812
1.9E-4,3.9752812
1.92E-4,3.9752812
1.94E-4,3.9752812
1.96E-4,3.9752812
1.98E-4,3.9752812
2.0E-4,3.9752812
2.02E-4,3.9752812
2.04E-4,3.9752812
2.06E-4,3.9752812
2.08E-4,3.9752812
2.1E-4,3.9752812
2.12E-4,3.9752812
2.14E-4,3.9752812
2.16E-4,3.9752812
2.18E-4,3.9752812
2.2E-4,3.9752812
2.22E-4,3.9752812
2.24E-4,3.9752812
2.26E-4,3.9752812
2.28E-4,3.9752812
2.3E-4,3.9752812
2.32E-4,3.9752812
2.34E-4,3.9752812
2.3599999E-4,3.9752812
2.38E-4,3.9752812
2.4E-4,3.9752812
2.42E-4,3.9752812
2.44E-4,3.9752812
2.46E-4,3.9752812
2.48E-4,3.9752812
2.5E-4,3.9752812
2.52E-4,3.9752812
2.54E-4,3.9752812
2.56E-4,3.9752812
2.58E-4,3.9752812
2.6E-4,3.9752812
2.62E-4,3.9752812
2.64E-4,3.9752812
2.66E-4,3.9752812
2.68E-4,3.9752812
2.7E-4,3.9752812
2.72E-4,3.9752812
2.74E-4,3.9752812
2.76E-4,3.9752812
2.78E-4,3.9752812
2.8E-4,3.9752812
2.82E-4,3.9752812
2.84E-4,3.9752812
2.86E-4,3.9752812
2.88E-4,3.9752812
2.9E-4,3.9752812
2.92E-4,3.9752812
2.94E-4,3.9752812
2.96E-4,3.9752812
2.98E-4,3.9752812
2.9999999E-4,3.9752812
3.02E-4,3.9752812
3.04E-4,3.9752812
3.06E-4,3.9752812
3.08E-4,3.9752812
3.1E-4,3.9752812
3.12E-4,3.9752812
3.14E-4,3.9752812
3.16E-4,3.9752812
3.18E-4,3.9752812
3.2E-4,3.9752812
3.22E-4,3.9752812
3.24E-4,3.9752812
3.26E-4,3.9752812
3.28E-4,3.9752812
3.3E-4,3.9752812
3.32E-4,3.9752812
3.34E-4,3.9752812
3.36E-4,3.9752812
3.38E-4,3.9752812
3.4E-4,3.9752812
3.4199998E-4,3.9752812
3.44E-4,3.9752812
3.46E-4,3.9752812
3.48E-4,3.9752812
3.5E-4,3.9752812
3.52E-4,3.9752812
3.54E-4,3.9752812
3.56E-4,3.9752812
3.58E-4,3.9752812
3.6E-4,3.1431174
3.62E-4,2.727035
3.64E-4,2.727035
3.66E-4,2.727035
3.68E-4,2.727035
3.7E-4,2.727035
3.72E-4,2.727035
3.74E-4,2.727035
3.76E-4,2.727035
3.78E-4,2.727035
3.8E-4,2.6808028
3.82E-4,2.6808028
3.84E-4,2.6808028
3.86E-4,2.6808028
3.88E-4,2.6808028
3.9E-4,2.6808028
3.92E-4,2.6808028
3.94E-4,2.6808028
3.96E-4,2.6808028
3.98E-4,2.6808028
4.0E-4,2.6808028
4.02E-4,2.6808028
4.04E-4,2.6808028
4.06E-4,2.6808028
4.08E-4,2.6808028
4.1E-4,2.6808028
4.12E-4,2.6808028
4.14E-4,2.6808028
4.16E-4,2.6808028
4.18E-4,2.6808028
4.2E-4,2.6808028
4.22E-4,2.6808028
4.24E-4,2.6808028
4.26E-4,2.6808028
4.28E-4,2.6808028
4.3E-4,2.6808028
4.32E-4,2.6808028
4.34E-4,2.6808028
4.36E-4,2.6808028
4.38E-4,2.6808028
4.4E-4,2.6808028
4.42E-4,2.6808028
4.44E-4,2.6808028
4.46E-4,2.6808028
4.48E-4,2.6808028
4.5E-4,2.6808028
4.52E-4,2.6808028
4.54E-4,2.6808028
4.56E-4,2.6808028
4.58E-4,2.6808028
4.6E-4,2.6808028
4.62E-4,2.6808028
4.64E-4,2.6808028
4.66E-4,2.6808028
4.68E-4,2.6808028
4.7E-4,2.6808028
4.7199999E-4,2.6808028
4.74E-4,2.6808028
4.76E-4,2.6808028
4.78E-4,2.6808028
4.8E-4,2.6808028
4.82E-4,2.6808028
4.84E-4,2.6808028
4.86E-4,2.6808028
4.88E-4,2.6808028
4.9E-4,2.6808028
4.92E-4,2.6808028
4.94E-4,2.6808028
4.96E-4,2.6808028
4.98E-4,2.6808028
5.0E-4,2.6808028
5.02E-4,2.6808028
5.04E-4,2.6808028
5.06E-4,2.6808028
5.08E-4,2.6808028
5.1E-4,2.6808028
5.12E-4,2.6808028
5.14E-4,2.6808028
5.16E-4,2.6808028
5.18E-4,2.6808028
5.2E-4,2.6808028
5.22E-4,2.6808028
5.24E-4,2.6808028
5.26E-4,2.6808028
5.28E-4,2.6808028
5.3E-4,2.6808028
5.32E-4,2.6808028
5.34E-4,2.6808028
5.36E-4,2.6808028
5.38E-4,2.6808028
5.4E-4,2.6808028
5.42E-4,2.6808028
5.44E-4,2.6808028
5.46E-4,2.6808028
5.48E-4,2.6808028
5.5E-4,2.6808028
5.52E-4,2.6808028
5.54E-4,2.6808028
5.56E-4,2.6808028
5.58E-4,2.6808028
5.6E-4,2.6808028
5.62E-4,2.6808028
5.64E-4,2.6808028
5.66E-4,2.6808028
5.68E-4,2.6808028
5.7E-4,2.6808028
5.72E-4,2.6808028
5.74E-4,2.6808028
5.76E-4,2.6808028
5.78E-4,2.6808028
5.8E-4,2.6808028
5.82E-4,2.6808028
5.84E-4,2.6808028
5.86E-4,2.6808028
5.88E-4,2.6808028
5.9E-4,2.6808028
5.92E-4,2.6808028
5.94E-4,2.6808028
5.96E-4,2.6808028
5.98E-4,2.6808028
5.9999997E-4,2.6808028
6.02E-4,2.6808028
6.04E-4,2.4034152
6.06E-4,1.4787879
6.08E-4,1.4325566
6.1E-4,1.4325566
6.12E-4,1.4325566
6.14E-4,1.4325566
6.16E-4,1.4325566
6.18E-4,1.4325566
6.2E-4,1.4325566
6.22E-4,1.4325566
6.24E-4,1.4325566
6.26E-4,1.4325566
6.28E-4,1.4325566
6.3E-4,1.4325566
6.32E-4,1.4325566
6.34E-4,1.4325566
6.36E-4,1.4325566
6.38E-4,1.4325566
6.4E-4,1.4325566
6.42E-4,1.3863249
6.44E-4,1.4325566
6.46E-4,1.3863249
6.48E-4,1.3863249
6.5E-4,1.3863249
6.52E-4,1.3863249
6.54E-4,1.3863249
6.56E-4,1.3863249
6.58E-4,1.3863249
6.6E-4,1.3863249
6.62E-4,1.3863249
6.64E-4,1.3863249
6.66E-4,1.3863249
6.68E-4,1.3863249
6.7E-4,1.3863249
6.72E-4,1.3863249
6.74E-4,1.3863249
6.76E-4,1.3863249
6.78E-4,1.3863249
6.8E-4,1.3863249
6.82E-4,1.3863249
6.8399997E-4,1.3863249
6.86E-4,1.3863249
6.88E-4,1.3863249
6.9E-4,1.3863249
6.92E-4,1.3863249
6.94E-4,1.3863249
6.96E-4,1.3863249
6.98E-4,1.3863249
7.0E-4,1.3863249
7.02E-4,1.3863249
7.04E-4,1.3863249
7.06E-4,1.3863249
7.08E-4,1.3863249
7.1E-4,1.3863249
7.12E-4,1.3863249
7.14E-4,1.3863249
7.16E-4,1.3863249
7.18E-4,1.3863249
7.2E-4,1.3863249
7.22E-4,1.3863249
7.24E-4,1.3863249
7.26E-4,1.3863249
7.28E-4,1.3863249
7.2999997E-4,1.3863249
7.32E-4,1.3863249
7.34E-4,1.3863249
7.36E-4,1.3863249
7.38E-4,1.3863249
7.4E-4,1.3863249
7.42E-4,1.3863249
7.44E-4,1.3863249
7.46E-4,1.3863249
7.48E-4,1.3863249
7.5E-4,1.3863249
7.52E-4,1.3863249
7.54E-4,1.3863249
7.56E-4,1.3863249
7.58E-4,1.3863249
7.6E-4,1.3863249
7.62E-4,1.3863249
7.64E-4,1.3863249
7.66E-4,1.3863249
7.68E-4,1.3863249
7.7E-4,1.3863249
7.72E-4,1.3863249
7.74E-4,1.3863249
7.76E-4,1.3863249
7.78E-4,1.3863249
7.8E-4,1.3863249
7.82E-4,1.3863249
7.84E-4,1.3863249
7.86E-4,1.3863249
7.88E-4,1.3863249
7.9E-4,1.3863249
7.92E-4,1.3863249
7.94E-4,1.3863249
7.96E-4,1.3863249
7.98E-4,1.3863249
8.0E-4,1.3863249
8.02E-4,1.3863249
8.04E-4,1.3863249
8.06E-4,1.3863249
8.08E-4,1.3863249
8.1E-4,1.3863249
8.12E-4,1.3863249
8.1399997E-4,1.3863249
8.16E-4,1.3863249
8.18E-4,1.3863249
8.2E-4,1.3863249
8.22E-4,1.3863249
8.24E-4,1.3863249
8.26E-4,1.3863249
8.28E-4,1.3863249
8.3E-4,1.3863249
8.32E-4,1.3863249
8.34E-4,1.3863249
8.36E-4,1.3863249
8.38E-4,1.3863249
8.4E-4,1.3863249
8.42E-4,1.3863249
8.44E-4,1.3863249
8.46E-4,1.3863249
8.48E-4,1.3863249
8.5E-4,0.23054075
8.52E-4,0.13807821
8.54E-4,0.13807821
8.56E-4,0.13807821
8.58E-4,0.13807821
8.6E-4,0.13807821
8.62E-4,0.13807821
8.64E-4,0.13807821
8.66E-4,0.13807821
8.68E-4,0.13807821
8.7E-4,0.13807821
8.72E-4,0.13807821
8.74E-4,0.13807821
8.76E-4,0.091846466
8.78E-4,0.091846466
8.8E-4,0.091846466
8.82E-4,0.091846466
8.84E-4,0.091846466
8.86E-4,0.091846466
8.88E-4,0.091846466
8.9E-4,0.091846466
8.92E-4,0.091846466
8.94E-4,0.091846466
8.96E-4,0.091846466
8.9799997E-4,0.091846466
9.0E-4,0.091846466
9.02E-4,0.091846466
9.04E-4,0.091846466
9.06E-4,0.091846466
9.08E-4,0.091846466
9.1E-4,0.091846466
9.12E-4,0.091846466
9.14E-4,0.091846466
9.16E-4,0.091846466
9.18E-4,0.091846466
9.2E-4,0.091846466
9.22E-4,0.091846466
9.24E-4,0.091846466
9.26E-4,0.091846466
9.28E-4,0.091846466
9.3E-4,0.091846466
9.32E-4,0.091846466
9.34E-4,0.091846466
9.36E-4,0.091846466
9.38E-4,0.091846466
9.4E-4,0.091846466
9.42E-4,0.091846466
9.4399997E-4,0.091846466
9.46E-4,0.091846466
9.48E-4,0.091846466
9.5E-4,0.091846466
9.52E-4,0.091846466
9.54E-4,0.091846466
9.56E-4,0.091846466
9.58E-4,0.091846466
9.6E-4,0.091846466
9.62E-4,0.091846466
9.64E-4,0.091846466
9.66E-4,0.091846466
9.68E-4,0.091846466
9.7E-4,0.091846466
9.72E-4,0.091846466
9.74E-4,0.091846466
9.76E-4,0.091846466
9.78E-4,0.091846466
9.8E-4,0.091846466
9.82E-4,0.091846466
9.84E-4,0.091846466
9.859999E-4,0.091846466
9.88E-4,0.091846466
9.9E-4,0.091846466
9.92E-4,0.091846466
9.94E-4,0.091846466
9.96E-4,0.091846466
9.98E-4,0.091846466
0.001,0.091846466
0.001002,0.091846466
0.001004,0.091846466
0.001006,0.091846466
0.001008,0.091846466
0.00101,0.091846466
0.001012,0.091846466
0.001014,0.091846466
0.001016,0.091846466
0.001018,0.091846466
0.00102,0.091846466
0.001022,0.091846466
0.001024,0.091846466
0.001026,0.091846466
0.001028,0.091846466
0.00103,0.091846466
0.001032,0.091846466
0.001034,0.091846466
0.001036,0.091846466
0.001038,0.091846466
0.00104,0.091846466
0.001042,0.091846466
0.001044,0.091846466
0.001046,0.091846466
0.001048,0.091846466
0.00105,0.091846466
0.001052,0.091846466
0.001054,0.091846466
0.001056,0.091846466
0.001058,0.091846466
0.00106,0.091846466
0.001062,0.091846466
0.001064,0.091846466
0.001066,0.091846466
0.001068,0.091846466
0.00107,0.091846466
0.001072,0.091846466
0.001074,0.091846466
0.001076,0.091846466
0.001078,0.091846466
0.00108,0.091846466
0.001082,0.091846466
0.001084,0.091846466
0.001086,0.091846466
0.001088,0.091846466
0.00109,0.091846466
0.001092,0.091846466
0.001094,0.091846466
0.001096,0.091846466
0.001098,0.091846466
0.0011,0.091846466
0.001102,0.091846466
0.001104,0.091846466
0.001106,0.091846466
0.001108,0.091846466
0.00111,0.091846466
0.001112,0.091846466
0.001114,0.091846466
0.001116,0.091846466
0.001118,0.091846466
0.00112,0.091846466
0.001122,0.091846466
0.001124,0.091846466
0.001126,0.091846466
0.001128,0.091846466
0.00113,0.091846466
0.001132,0.091846466
0.001134,0.091846466
0.001136,0.091846466
0.001138,0.091846466
0.00114,0.091846466
0.001142,0.091846466
0.001144,0.091846466
0.001146,0.091846466
0.001148,0.091846466
0.00115,0.091846466
0.001152,0.091846466
0.0011539999,0.091846466
0.001156,0.091846466
0.001158,0.091846466
0.00116,0.091846466
0.001162,0.091846466
0.001164,0.091846466
0.001166,0.091846466
0.001168,0.091846466
0.00117,0.091846466
0.001172,0.091846466
0.001174,0.091846466
0.001176,0.091846466
0.001178,0.091846466
0.00118,0.091846466
0.001182,0.091846466
0.001184,0.091846466
0.001186,0.091846466
0.001188,0.091846466
0.00119,0.091846466
0.001192,0.091846466
0.001194,0.091846466
0.001196,0.091846466
0.001198,0.091846466
0.0011999999,0.091846466
0.001202,0.091846466
0.001204,0.091846466
0.001206,0.091846466
0.001208,0.091846466
0.00121,0.091846466
0.001212,0.091846466
0.001214,0.091846466
0.001216,0.091846466
0.001218,0.091846466
0.00122,0.091846466
0.001222,0.091846466
0.001224,0.091846466
0.001226,0.091846466
0.001228,0.091846466
0.00123,0.091846466
0.001232,0.091846466
0.001234,0.091846466
0.001236,0.091846466
0.001238,0.091846466
0.00124,0.091846466
0.001242,0.091846466
0.001244,0.091846466
0.0012459999,0.091846466
0.001248,0.091846466
0.00125,0.091846466
0.001252,0.091846466
0.001254,0.091846466
0.001256,0.091846466
0.001258,0.091846466
0.00126,0.091846466
0.001262,0.091846466
0.001264,0.091846466
0.001266,0.091846466
0.001268,0.091846466
0.00127,0.091846466
0.001272,0.091846466
0.001274,0.091846466
0.001276,0.091846466
0.001278,0.091846466
0.00128,0.091846466
0.001282,0.091846466
0.001284,0.091846466
0.001286,0.091846466
0.001288,0.091846466
0.00129,0.091846466
0.001292,0.091846466
0.001294,0.091846466
0.001296,0.091846466
0.001298,0.091846466
0.0013,0.091846466
0.001302,0.091846466
0.001304,0.091846466
0.001306,0.091846466
0.001308,0.091846466
0.00131,0.091846466
0.001312,0.091846466
0.001314,0.091846466
0.001316,0.091846466
0.001318,0.091846466
0.00132,0.091846466
0.001322,0.091846466
0.001324,0.091846466
0.001326,0.091846466
0.001328,0.091846466
0.00133,0.091846466
0.001332,0.091846466
0.001334,0.091846466
0.001336,0.091846466
0.001338,0.091846466
0.00134,0.091846466
0.001342,0.091846466
0.001344,0.091846466
0.001346,0.091846466
0.001348,0.091846466
0.00135,0.091846466
0.001352,0.091846466
0.001354,0.091846466
0.001356,0.091846466
0.001358,0.091846466
0.00136,0.091846466
0.001362,0.091846466
0.001364,0.091846466
0.001366,0.091846466
0.0013679999,0.091846466
0.00137,0.091846466
0.001372,0.091846466
0.001374,0.091846466
0.001376,0.091846466
0.001378,0.091846466
0.00138,0.091846466
0.001382,0.091846466
0.001384,0.091846466
0.001386,0.091846466
0.001388,0.091846466
0.00139,0.091846466
0.001392,0.091846466
0.001394,0.091846466
0.001396,0.091846466
0.001398,0.091846466
0.0014,0.091846466
0.001402,0.091846466
0.001404,0.091846466
0.001406,0.091846466
0.001408,0.091846466
0.00141,0.091846466
0.001412,0.091846466
0.0014139999,0.091846466
0.001416,0.091846466
0.001418,0.091846466
0.00142,0.091846466
0.001422,0.091846466
0.001424,0.091846466
0.001426,0.091846466
0.001428,0.091846466
0.00143,0.091846466
0.001432,0.091846466
0.001434,0.091846466
0.001436,0.091846466
0.001438,0.091846466
0.00144,0.091846466
0.001442,0.091846466
0.001444,0.091846466
0.001446,0.091846466
0.001448,0.091846466
0.00145,0.091846466
0.001452,0.091846466
0.001454,0.091846466
0.001456,0.091846466
0.001458,0.091846466
0.0014599999,0.091846466
0.001462,0.091846466
0.001464,0.091846466
0.001466,0.091846466
0.001468,0.091846466
0.00147,0.091846466
0.001472,0.091846466
0.001474,0.6928544
0.001476,1.3863249
0.001478,1.3400936
0.00148,1.3863249
0.001482,1.3863249
0.001484,1.3863249
0.001486,1.3863249
0.001488,1.3863249
0.00149,1.3863249
0.001492,1.3863249
0.001494,1.3863249
0.001496,1.3863249
0.001498,1.3863249
0.0015,1.3863249
0.001502,1.3863249
0.001504,1.3863249
0.001506,1.3863249
0.001508,1.3863249
0.00151,1.3863249
0.001512,1.3863249
0.001514,1.3863249
0.001516,1.3863249
0.001518,1.3863249
0.00152,1.3863249
0.001522,1.3863249
0.001524,1.3863249
0.001526,1.3863249
0.001528,1.3863249
0.00153,1.3863249
0.001532,1.3863249
0.001534,1.3863249
0.001536,1.3863249
0.001538,1.3863249
0.00154,1.3863249
0.001542,1.3863249
0.001544,1.3863249
0.001546,1.3863249
0.001548,1.3863249
0.00155,1.3863249
0.001552,1.3863249
0.001554,1.3863249
0.001556,1.3863249
0.001558,1.3863249
0.00156,1.3863249
0.001562,1.3863249
0.001564,1.3863249
0.001566,1.3863249
0.001568,1.3863249
0.00157,1.3863249
0.001572,1.3863249
0.001574,1.3863249
0.001576,1.3863249
0.001578,1.3863249
0.00158,1.3863249
0.0015819999,1.3863249
0.001584,1.3863249
0.001586,1.3863249
0.001588,1.3863249
0.00159,1.3863249
0.001592,1.3863249
0.001594,1.3863249
0.001596,1.3863249
0.001598,1.3863249
0.0016,1.3863249
0.001602,1.3863249
0.001604,1.3863249
0.001606,1.3863249
0.001608,1.3863249
0.00161,1.3863249
0.001612,1.3863249
0.001614,1.3863249
0.001616,1.3863249
0.001618,1.3863249
0.00162,1.3863249
0.001622,1.3863249
0.001624,1.3863249
0.001626,1.3863249
0.0016279999,1.3863249
0.00163,1.3863249
0.001632,1.3863249
0.001634,1.3863249
0.001636,1.3863249
0.001638,1.3863249
0.00164,1.3863249
0.001642,1.3863249
0.001644,1.3863249
0.001646,1.3863249
0.001648,1.3863249
0.00165,1.3863249
0.001652,1.3863249
0.001654,1.3863249
0.001656,1.3863249
0.001658,1.3863249
0.00166,1.3863249
0.001662,1.3863249
0.001664,1.3863249
0.001666,1.3863249
0.001668,1.3863249
0.00167,1.3863249
0.001672,1.3863249
0.0016739999,1.3863249
0.001676,1.3863249
0.001678,1.3863249
0.00168,1.3863249
0.001682,1.3863249
0.001684,1.3863249
0.001686,1.3863249
0.001688,1.3863249
0.00169,1.3863249
0.001692,1.3863249
0.001694,1.3863249
0.001696,1.3863249
0.001698,1.3863249
0.0017,1.3863249
0.001702,1.3863249
0.001704,1.3863249
0.001706,1.3863249
0.001708,1.3863249
0.00171,1.3863249
0.001712,1.3863249
0.001714,1.3863249
0.001716,1.3863249
0.001718,1.4787879
0.00172,2.6345725
0.001722,2.6345725
0.001724,2.6345725
0.001726,2.6345725
0.001728,2.6345725
0.00173,2.6345725
0.001732,2.6345725
0.001734,2.6808028
0.001736,2.6808028
0.001738,2.6808028
0.00174,2.6808028
0.001742,2.6808028
0.001744,2.6808028
0.001746,2.6808028
0.001748,2.6808028
0.0017499999,2.6808028
0.001752,2.6808028
0.001754,2.6808028
0.001756,2.6808028
0.001758,2.6808028
0.00176,2.6808028
0.001762,2.6808028
0.001764,2.6808028
0.001766,2.6808028
0.001768,2.6808028
0.00177,2.6808028
0.001772,2.6808028
0.001774,2.6808028
0.001776,2.6808028
0.001778,2.6808028
0.00178,2.6808028
0.001782,2.6808028
0.001784,2.6808028
0.001786,2.6808028
0.001788,2.6808028
0.00179,2.6808028
0.001792,2.6808028
0.001794,2.6808028
0.0017959999,2.6808028
0.001798,2.6808028
0.0018,2.6808028
0.001802,2.6808028
0.001804,2.6808028
0.001806,2.6808028
0.001808,2.6808028
0.00181,2.6808028
0.001812,2.6808028
0.001814,2.6808028
0.001816,2.6808028
0.001818,2.6808028
0.00182,2.6808028
0.001822,2.6808028
0.001824,2.6808028
0.001826,2.6808028
0.001828,2.6808028
0.00183,2.6808028
0.001832,2.6808028
0.001834,2.6808028
0.001836,2.6808028
0.001838,2.6808028
0.00184,2.6808028
0.0018419999,2.6808028
0.001844,2.6808028
0.001846,2.6808028
0.001848,2.6808028
0.00185,2.6808028
0.001852,2.6808028
0.001854,2.6808028
0.001856,2.6808028
0.001858,2.6808028
0.00186,2.6808028
0.001862,2.6808028
0.001864,2.6808028
0.001866,2.6808028
0.001868,2.6808028
0.00187,2.6808028
0.001872,2.6808028
0.001874,2.6808028
0.001876,2.6808028
0.001878,2.6808028
0.00188,2.6808028
0.001882,2.6808028
0.001884,2.6808028
0.001886,2.6808028
0.0018879999,2.6808028
0.00189,2.6808028
0.001892,2.6808028
0.001894,2.6808028
0.001896,2.6808028
0.001898,2.6808028
0.0019,2.6808028
0.001902,2.6808028
0.001904,2.6808028
0.001906,2.6808028
0.001908,2.6808028
0.00191,2.6808028
0.001912,2.6808028
0.001914,2.6808028
0.001916,2.6808028
0.001918,2.6808028
0.00192,2.6808028
0.001922,2.6808028
0.001924,2.6808028
