Time,CH1
0.0,1.1551685
2.0E-6,1.1551685
4.0E-6,1.1551685
6.0E-6,1.1551685
8.0E-6,1.1551685
1.0E-5,1.1551685
1.2E-5,1.1551685
1.4E-5,1.1551685
1.6E-5,1.2013993
1.8E-5,1.2013993
2.0E-5,1.2013993
2.2E-5,1.2013993
2.4E-5,1.2013993
2.6E-5,1.2013993
2.8E-5,1.2013993
3.0E-5,1.2013993
3.2E-5,1.2013993
3.4E-5,1.2013993
3.6E-5,1.2013993
3.8E-5,1.2013993
4.0E-5,1.2013993
4.2E-5,1.2013993
4.4E-5,1.2013993
4.6E-5,1.2013993
4.8E-5,1.2476311
5.0E-5,1.2476311
5.2E-5,1.2476311
5.4E-5,1.2476311
5.6E-5,1.2476311
5.8E-5,1.2476311
6.0E-5,1.2476311
6.2E-5,1.2476311
6.4E-5,1.2476311
6.6E-5,1.2476311
6.8E-5,1.2476311
7.0E-5,1.2476311
7.2E-5,1.2476311
7.4E-5,1.2476311
7.6E-5,1.2476311
7.8E-5,1.2476311
8.0E-5,1.2476311
8.2E-5,1.2476311
8.4E-5,1.2476311
8.6E-5,1.2476311
8.8E-5,1.2476311
9.0E-5,1.2476311
9.2E-5,1.2476311
9.4E-5,1.2476311
9.6E-5,1.2476311
9.8E-5,1.2476311
1.0E-4,1.2476311
1.02E-4,1.2476311
1.04E-4,1.2476311
1.06E-4,1.2476311
1.08E-4,1.2013993
1.1E-4,1.2013993
1.12E-4,1.2013993
1.14E-4,1.2013993
1.16E-4,1.2013993
1.17999996E-4,1.2013993
1.2E-4,1.2013993
1.22E-4,1.2013993
1.24E-4,1.2013993
1.26E-4,1.2013993
1.28E-4,1.2013993
1.3E-4,1.2013993
1.32E-4,1.2013993
1.34E-4,1.2013993
1.36E-4,1.1551685
1.38E-4,1.1551685
1.4E-4,1.1551685
1.42E-4,1.1551685
1.44E-4,1.1551685
1.46E-4,1.1551685
1.48E-4,1.1551685
1.4999999E-4,1.1551685
1.52E-4,1.1551685
1.54E-4,1.1551685
1.56E-4,1.1551685
1.58E-4,1.1089368
1.6E-4,1.1089368
1.62E-4,1.1089368
1.64E-4,1.1089368
1.66E-4,1.1089368
1.68E-4,1.1089368
1.7E-4,1.1089368
1.72E-4,1.0627055
1.74E-4,1.0627055
1.76E-4,1.0627055
1.78E-4,1.0627055
1.8E-4,1.0627055
1.82E-4,1.0627055
1.84E-4,1.0164738
1.86E-4,1.0164738
1.88E-4,1.0164738
1.9E-4,1.0164738
1.92E-4,1.0164738
1.94E-4,1.0164738
1.96E-4,1.0164738
1.98E-4,0.970243
2.0E-4,0.970243
2.02E-4,0.970243
2.04E-4,0.970243
2.06E-4,0.970243
2.08E-4,0.92401123
2.1E-4,0.92401123
2.12E-4,0.92401123
2.14E-4,0.92401123
2.16E-4,0.87777996
2.18E-4,0.87777996
2.2E-4,0.87777996
2.22E-4,0.87777996
2.24E-4,0.87777996
2.26E-4,0.8315482
2.28E-4,0.8315482
2.3E-4,0.8315482
2.32E-4,0.8315482
2.34E-4,0.8315482
2.3599999E-4,0.7853174
2.38E-4,0.7853174
2.4E-4,0.7853174
2.42E-4,0.7853174
2.44E-4,0.7853174
2.46E-4,0.7390857
2.48E-4,0.7390857
2.5E-4,0.7390857
2.52E-4,0.7390857
2.54E-4,0.6928544
2.56E-4,0.6928544
2.58E-4,0.6928544
2.6E-4,0.6928544
2.62E-4,0.64662313
2.64E-4,0.64662313
2.66E-4,0.64662313
2.68E-4,0.64662313
2.7E-4,0.60039186
2.72E-4,0.60039186
2.74E-4,0.60039186
2.76E-4,0.60039186
2.78E-4,0.5541601
2.8E-4,0.5541601
2.82E-4,0.5541601
2.84E-4,0.5541601
2.86E-4,0.50792885
2.88E-4,0.50792885
2.9E-4,0.50792885
2.92E-4,0.50792885
2.94E-4,0.46169758
2.96E-4,0.46169758
2.98E-4,0.46169758
2.9999999E-4,0.46169758
3.02E-4,0.4154663
3.04E-4,0.4154663
3.06E-4,0.4154663
3.08E-4,0.4154663
3.1E-4,0.36923456
3.12E-4,0.36923456
3.14E-4,0.36923456
3.16E-4,0.36923456
3.18E-4,0.3230033
3.2E-4,0.3230033
3.22E-4,0.3230033
3.24E-4,0.27677202
3.26E-4,0.27677202
3.28E-4,0.27677202
3.3E-4,0.27677202
3.32E-4,0.23054075
3.34E-4,0.23054075
3.36E-4,0.23054075
3.38E-4,0.184309
