Time,CH1
0.0,4.992371
2.0E-6,4.807446
4.0E-6,4.7612157
6.0E-6,4.8999095
8.0E-6,4.946141
1.0E-5,4.992371
1.2E-5,4.992371
1.4E-5,4.992371
1.6E-5,4.992371
1.8E-5,4.992371
2.0E-5,4.992371
2.2E-5,4.992371
2.4E-5,4.992371
2.6E-5,5.177297
2.8E-5,5.177297
3.0E-5,5.0848346
3.2E-5,5.0386033
3.4E-5,5.0386033
3.6E-5,5.0386033
3.8E-5,5.0386033
4.0E-5,5.0386033
4.2E-5,5.0386033
4.4E-5,5.0386033
4.6E-5,5.0386033
4.8E-5,5.0386033
5.0E-5,5.0386033
5.2E-5,5.0386033
5.4E-5,4.7612157
5.6E-5,4.807446
5.8E-5,4.946141
6.0E-5,4.992371
6.2E-5,4.992371
6.4E-5,4.992371
6.6E-5,4.992371
6.8E-5,4.992371
7.0E-5,3.0968862
7.2E-5,0.5541601
7.4E-5,0.4154663
7.6E-5,0.4154663
7.8E-5,0.4154663
8.0E-5,0.4154663
8.2E-5,0.36923456
8.4E-5,0.36923456
8.6E-5,0.36923456
8.8E-5,0.36923456
9.0E-5,0.36923456
9.2E-5,0.3230033
9.4E-5,0.3230033
9.6E-5,0.3230033
9.8E-5,0.3230033
1.0E-4,0.3230033
1.02E-4,0.3230033
1.04E-4,0.3230033
1.06E-4,0.3230033
1.08E-4,0.3230033
1.1E-4,0.3230033
1.12E-4,0.3230033
1.14E-4,0.3230033
1.16E-4,0.3230033
1.17999996E-4,0.3230033
1.2E-4,0.5541601
1.22E-4,3.1893477
1.24E-4,4.2064385
1.26E-4,4.622521
1.28E-4,4.8999095
1.3E-4,5.0386033
1.32E-4,5.0386033
1.34E-4,4.992371
1.36E-4,4.946141
1.38E-4,4.946141
1.4E-4,4.946141
1.42E-4,4.946141
1.44E-4,4.946141
1.46E-4,4.946141
1.48E-4,4.946141
1.4999999E-4,4.992371
1.52E-4,4.992371
1.54E-4,4.992371
1.56E-4,4.992371
1.58E-4,4.668752
1.6E-4,4.8536773
1.62E-4,4.946141
1.64E-4,4.946141
1.66E-4,4.992371
1.68E-4,4.992371
1.7E-4,4.992371
1.72E-4,4.7612157
1.74E-4,1.2938623
1.76E-4,0.4154663
1.78E-4,0.4154663
1.8E-4,0.4154663
1.82E-4,0.36923456
1.84E-4,0.36923456
1.86E-4,0.36923456
1.88E-4,0.36923456
1.9E-4,0.36923456
1.92E-4,0.3230033
1.94E-4,0.3230033
1.96E-4,0.3230033
1.98E-4,0.3230033
2.0E-4,0.3230033
2.02E-4,0.3230033
2.04E-4,0.3230033
2.06E-4,0.3230033
2.08E-4,0.184309
2.1E-4,0.184309
2.12E-4,0.184309
2.14E-4,0.184309
2.16E-4,0.184309
2.18E-4,0.184309
2.2E-4,0.184309
2.22E-4,0.184309
2.24E-4,0.184309
2.26E-4,0.184309
2.28E-4,0.13807821
2.3E-4,0.13807821
2.32E-4,0.13807821
2.34E-4,0.184309
2.3599999E-4,0.184309
2.38E-4,0.184309
2.4E-4,0.184309
2.42E-4,0.184309
2.44E-4,0.184309
2.46E-4,0.184309
2.48E-4,0.184309
2.5E-4,0.184309
2.52E-4,0.184309
2.54E-4,1.2013993
2.56E-4,3.4667363
2.58E-4,4.3451324
2.6E-4,4.622521
2.62E-4,4.807446
2.64E-4,4.8536773
2.66E-4,4.8999095
2.68E-4,4.8999095
2.7E-4,4.8999095
2.72E-4,4.8999095
2.74E-4,4.946141
2.76E-4,4.946141
2.78E-4,5.131067
2.8E-4,5.131067
2.82E-4,5.0848346
2.84E-4,5.0386033
2.86E-4,4.992371
2.88E-4,4.992371
2.9E-4,4.992371
2.92E-4,4.992371
2.94E-4,4.992371
2.96E-4,4.992371
2.98E-4,4.992371
2.9999999E-4,4.992371
3.02E-4,4.992371
3.04E-4,4.992371
3.06E-4,4.622521
3.08E-4,1.1551685
3.1E-4,0.4154663
3.12E-4,0.36923456
3.14E-4,0.36923456
3.16E-4,0.36923456
3.18E-4,0.36923456
3.2E-4,0.36923456
3.22E-4,1.756176
3.24E-4,3.744125
3.26E-4,4.437596
3.28E-4,4.7612157
3.3E-4,5.0386033
3.32E-4,5.0848346
3.34E-4,5.0386033
3.36E-4,4.992371
3.38E-4,4.992371
3.4E-4,4.992371
3.4199998E-4,4.992371
3.44E-4,4.992371
3.46E-4,4.992371
3.48E-4,4.992371
3.5E-4,4.992371
3.52E-4,4.992371
3.54E-4,4.992371
3.56E-4,4.992371
3.58E-4,4.807446
3.6E-4,4.7612157
3.62E-4,4.8999095
3.64E-4,4.946141
3.66E-4,4.992371
3.68E-4,4.992371
3.7E-4,4.992371
3.72E-4,4.992371
3.74E-4,3.420505
3.76E-4,0.60039186
3.78E-4,0.4154663
3.8E-4,0.4154663
3.82E-4,0.4154663
3.84E-4,0.36923456
3.86E-4,0.36923456
3.88E-4,0.36923456
3.9E-4,0.36923456
3.92E-4,0.36923456
3.94E-4,0.36923456
3.96E-4,0.3230033
3.98E-4,0.3230033
4.0E-4,0.3230033
4.02E-4,0.3230033
4.04E-4,0.3230033
4.06E-4,0.3230033
4.08E-4,0.3230033
4.1E-4,0.27677202
4.12E-4,0.3230033
4.14E-4,0.3230033
4.16E-4,0.3230033
4.18E-4,0.3230033
4.2E-4,0.3230033
4.22E-4,0.27677202
4.24E-4,0.3230033
4.26E-4,3.050654
4.28E-4,4.1602073
4.3E-4,4.5762897
4.32E-4,4.8536773
4.34E-4,5.0386033
4.36E-4,5.0386033
4.38E-4,4.992371
4.4E-4,4.946141
4.42E-4,4.946141
4.44E-4,4.946141
4.46E-4,4.946141
4.48E-4,4.946141
4.5E-4,4.946141
4.52E-4,4.946141
4.54E-4,4.946141
4.56E-4,4.992371
4.58E-4,4.992371
4.6E-4,4.992371
4.62E-4,4.668752
4.64E-4,4.8536773
4.66E-4,4.946141
4.68E-4,4.946141
4.7E-4,4.992371
4.7199999E-4,4.992371
4.74E-4,4.992371
4.76E-4,4.992371
4.78E-4,1.5712504
4.8E-4,0.4154663
4.82E-4,0.4154663
4.84E-4,0.4154663
4.86E-4,0.36923456
4.88E-4,0.36923456
4.9E-4,0.36923456
4.92E-4,0.36923456
4.94E-4,0.36923456
4.96E-4,0.36923456
4.98E-4,0.3230033
5.0E-4,0.3230033
5.02E-4,0.3230033
5.04E-4,0.3230033
5.06E-4,0.3230033
5.08E-4,0.3230033
5.1E-4,0.3230033
5.12E-4,0.27677202
5.14E-4,0.3230033
5.16E-4,0.3230033
5.18E-4,0.3230033
