Time,CH1
0.0,5.9169993
2.0E-6,5.9169993
4.0E-6,5.9169993
6.0E-6,5.9169993
8.0E-6,5.9169993
1.0E-5,5.9169993
1.2E-5,5.9169993
1.4E-5,5.9169993
1.6E-5,5.9169993
1.8E-5,5.9169993
2.0E-5,5.9169993
2.2E-5,5.9169993
2.4E-5,5.9169993
2.6E-5,5.9169993
2.8E-5,5.9169993
3.0E-5,5.9169993
3.2E-5,5.9169993
3.4E-5,5.9169993
3.6E-5,5.9169993
3.8E-5,5.9169993
4.0E-5,5.9169993
4.2E-5,5.9169993
4.4E-5,5.9169993
4.6E-5,5.9169993
4.8E-5,5.9169993
5.0E-5,5.9169993
5.2E-5,5.9169993
5.4E-5,5.9169993
5.6E-5,5.9169993
5.8E-5,5.9169993
6.0E-5,5.9169993
6.2E-5,5.9169993
6.4E-5,5.9169993
6.6E-5,5.9169993
6.8E-5,5.9169993
7.0E-5,5.9169993
7.2E-5,5.9169993
7.4E-5,5.9169993
7.6E-5,5.9169993
7.8E-5,5.9169993
8.0E-5,5.9169993
8.2E-5,5.9169993
8.4E-5,5.9169993
8.6E-5,5.9169993
8.8E-5,5.9169993
9.0E-5,5.9169993
9.2E-5,5.9169993
9.4E-5,5.9169993
9.6E-5,5.9169993
9.8E-5,5.9169993
1.0E-4,5.9169993
1.02E-4,5.9169993
1.04E-4,5.9169993
1.06E-4,5.9169993
1.08E-4,5.9169993
1.1E-4,5.9169993
1.12E-4,5.9169993
1.14E-4,5.9169993
1.16E-4,5.9169993
1.17999996E-4,5.9169993
1.2E-4,5.9169993
1.22E-4,5.9169993
1.24E-4,5.9169993
1.26E-4,5.9169993
1.28E-4,5.9169993
1.3E-4,5.9169993
1.32E-4,5.9169993
1.34E-4,5.9169993
1.36E-4,5.9169993
1.38E-4,5.9169993
1.4E-4,5.9169993
1.42E-4,5.9169993
1.44E-4,5.9169993
1.46E-4,5.9169993
1.48E-4,5.9169993
1.4999999E-4,5.9169993
1.52E-4,5.9169993
1.54E-4,5.9169993
1.56E-4,5.9169993
1.58E-4,5.9169993
1.6E-4,5.9169993
1.62E-4,5.9169993
1.64E-4,5.9169993
1.66E-4,5.9169993
1.68E-4,5.9169993
1.7E-4,5.9169993
1.72E-4,5.9169993
1.74E-4,5.9169993
1.76E-4,5.9169993
1.78E-4,5.9169993
1.8E-4,5.9169993
1.82E-4,5.9169993
1.84E-4,5.9169993
1.86E-4,5.9169993
1.88E-4,5.9169993
1.9E-4,5.9169993
1.92E-4,5.9169993
1.94E-4,5.9169993
1.96E-4,5.9169993
1.98E-4,5.9169993
2.0E-4,5.9169993
2.02E-4,5.9169993
2.04E-4,5.9169993
2.06E-4,5.9169993
2.08E-4,5.9169993
2.1E-4,5.9169993
2.12E-4,5.9169993
2.14E-4,5.9169993
2.16E-4,5.9169993
2.18E-4,5.9169993
2.2E-4,5.9169993
2.22E-4,5.9169993
2.24E-4,5.9169993
2.26E-4,5.9169993
2.28E-4,5.9169993
2.3E-4,5.9169993
2.32E-4,5.9169993
2.34E-4,5.9169993
2.3599999E-4,5.9169993
2.38E-4,5.9169993
2.4E-4,5.9169993
2.42E-4,5.9169993
2.44E-4,5.9169993
2.46E-4,5.9169993
2.48E-4,5.9169993
2.5E-4,5.9169993
2.52E-4,5.9169993
2.54E-4,5.9169993
2.56E-4,5.9169993
2.58E-4,5.9169993
2.6E-4,5.9169993
2.62E-4,5.9169993
2.64E-4,5.9169993
2.66E-4,5.9169993
2.68E-4,5.9169993
2.7E-4,5.9169993
2.72E-4,5.9169993
2.74E-4,5.9169993
2.76E-4,5.9169993
2.78E-4,5.9169993
2.8E-4,5.9169993
2.82E-4,5.9169993
2.84E-4,5.9169993
2.86E-4,5.9169993
2.88E-4,5.9169993
2.9E-4,5.9169993
2.92E-4,5.9169993
2.94E-4,5.9169993
2.96E-4,5.9169993
2.98E-4,5.9169993
2.9999999E-4,5.9169993
3.02E-4,5.9169993
3.04E-4,5.9169993
3.06E-4,5.9169993
3.08E-4,5.9169993
3.1E-4,5.9169993
3.12E-4,5.9169993
3.14E-4,5.9169993
3.16E-4,5.9169993
3.18E-4,5.9169993
3.2E-4,5.9169993
3.22E-4,5.9169993
3.24E-4,5.9169993
3.26E-4,5.9169993
3.28E-4,5.9169993
3.3E-4,5.9169993
3.32E-4,5.9169993
3.34E-4,5.9169993
3.36E-4,5.9169993
3.38E-4,5.9169993
3.4E-4,5.9169993
3.4199998E-4,5.9169993
3.44E-4,5.9169993
3.46E-4,5.9169993
3.48E-4,5.9169993
3.5E-4,5.9169993
3.52E-4,5.9169993
3.54E-4,5.9169993
3.56E-4,5.9169993
3.58E-4,5.9169993
3.6E-4,5.9169993
3.62E-4,5.9169993
3.64E-4,5.9169993
3.66E-4,5.9169993
3.68E-4,5.9169993
3.7E-4,5.9169993
3.72E-4,5.9169993
3.74E-4,5.9169993
3.76E-4,5.9169993
3.78E-4,5.9169993
3.8E-4,5.9169993
3.82E-4,5.9169993
3.84E-4,5.9169993
3.86E-4,5.9169993
3.88E-4,5.9169993
3.9E-4,5.9169993
3.92E-4,5.9169993
3.94E-4,5.9169993
3.96E-4,5.9169993
3.98E-4,5.9169993
4.0E-4,5.9169993
4.02E-4,5.9169993
4.04E-4,5.9169993
4.06E-4,5.9169993
4.08E-4,5.9169993
4.1E-4,5.9169993
4.12E-4,5.9169993
4.14E-4,5.9169993
4.16E-4,5.9169993
4.18E-4,5.9169993
4.2E-4,5.9169993
4.22E-4,5.9169993
4.24E-4,5.9169993
4.26E-4,5.9169993
4.28E-4,5.9169993
4.3E-4,5.9169993
4.32E-4,5.9169993
4.34E-4,5.9169993
4.36E-4,5.9169993
4.38E-4,5.9169993
4.4E-4,5.9169993
4.42E-4,5.9169993
4.44E-4,5.9169993
4.46E-4,5.9169993
4.48E-4,5.9169993
4.5E-4,5.9169993
4.52E-4,5.9169993
4.54E-4,5.9169993
4.56E-4,5.9169993
4.58E-4,5.9169993
4.6E-4,5.9169993
4.62E-4,5.9169993
4.64E-4,5.9169993
4.66E-4,5.9169993
4.68E-4,5.9169993
4.7E-4,5.9169993
4.7199999E-4,5.9169993
4.74E-4,5.9169993
4.76E-4,5.9169993
4.78E-4,5.9169993
4.8E-4,5.9169993
4.82E-4,5.9169993
4.84E-4,5.9169993
4.86E-4,5.9169993
4.88E-4,5.9169993
4.9E-4,5.9169993
4.92E-4,5.9169993
4.94E-4,5.9169993
4.96E-4,5.9169993
4.98E-4,5.9169993
5.0E-4,5.9169993
5.02E-4,5.9169993
5.04E-4,5.9169993
5.06E-4,5.9169993
5.08E-4,5.9169993
5.1E-4,5.9169993
5.12E-4,5.9169993
5.14E-4,5.9169993
5.16E-4,5.9169993
5.18E-4,5.9169993
5.2E-4,5.9169993
5.22E-4,5.9169993
5.24E-4,5.9169993
5.26E-4,5.9169993
5.28E-4,5.9169993
5.3E-4,5.9169993
5.32E-4,5.9169993
5.34E-4,5.9169993
5.36E-4,5.9169993
5.38E-4,5.9169993
5.4E-4,5.9169993
5.42E-4,5.9169993
5.44E-4,5.9169993
5.46E-4,5.9169993
5.48E-4,5.9169993
5.5E-4,5.9169993
5.52E-4,5.9169993
5.54E-4,5.9169993
5.56E-4,5.9169993
5.58E-4,5.9169993
5.6E-4,5.9169993
5.62E-4,5.9169993
5.64E-4,5.9169993
5.66E-4,5.9169993
5.68E-4,5.9169993
5.7E-4,5.9169993
5.72E-4,5.9169993
5.74E-4,5.9169993
5.76E-4,5.9169993
5.78E-4,5.9169993
5.8E-4,5.9169993
5.82E-4,5.9169993
5.84E-4,5.9169993
5.86E-4,5.9169993
5.88E-4,5.9169993
5.9E-4,5.9169993
5.92E-4,5.9169993
5.94E-4,5.9169993
5.96E-4,5.9169993
5.98E-4,5.9169993
5.9999997E-4,5.9169993
6.02E-4,5.9169993
6.04E-4,5.9169993
6.06E-4,5.9169993
6.08E-4,5.9169993
6.1E-4,5.9169993
6.12E-4,5.9169993
6.14E-4,5.9169993
6.16E-4,5.9169993
6.18E-4,5.9169993
6.2E-4,5.9169993
6.22E-4,5.9169993
6.24E-4,5.9169993
6.26E-4,5.9169993
6.28E-4,5.9169993
6.3E-4,5.9169993
6.32E-4,5.9169993
6.34E-4,5.9169993
6.36E-4,5.9169993
6.38E-4,5.9169993
6.4E-4,5.9169993
6.42E-4,5.9169993
6.44E-4,5.9169993
6.46E-4,5.9169993
6.48E-4,5.9169993
6.5E-4,5.9169993
6.52E-4,5.9169993
6.54E-4,5.9169993
6.56E-4,5.9169993
6.58E-4,5.9169993
6.6E-4,5.9169993
6.62E-4,5.9169993
6.64E-4,5.9169993
6.66E-4,5.9169993
6.68E-4,5.9169993
6.7E-4,5.9169993
6.72E-4,5.9169993
6.74E-4,5.9169993
6.76E-4,5.9169993
6.78E-4,5.9169993
6.8E-4,5.9169993
6.82E-4,5.9169993
6.8399997E-4,5.9169993
6.86E-4,5.9169993
6.88E-4,5.9169993
6.9E-4,5.9169993
6.92E-4,5.9169993
6.94E-4,5.9169993
6.96E-4,5.9169993
6.98E-4,5.9169993
7.0E-4,5.9169993
7.02E-4,5.9169993
7.04E-4,5.9169993
7.06E-4,5.9169993
7.08E-4,5.9169993
7.1E-4,5.9169993
7.12E-4,5.9169993
7.14E-4,5.9169993
7.16E-4,5.9169993
7.18E-4,5.9169993
7.2E-4,5.9169993
7.22E-4,5.9169993
7.24E-4,5.9169993
7.26E-4,5.9169993
7.28E-4,5.9169993
7.2999997E-4,5.9169993
7.32E-4,5.9169993
7.34E-4,5.9169993
7.36E-4,5.9169993
7.38E-4,5.9169993
7.4E-4,5.9169993
7.42E-4,5.9169993
7.44E-4,5.9169993
7.46E-4,5.9169993
7.48E-4,5.9169993
7.5E-4,5.9169993
7.52E-4,5.9169993
7.54E-4,5.9169993
7.56E-4,5.9169993
7.58E-4,5.9169993
7.6E-4,5.9169993
7.62E-4,5.9169993
7.64E-4,5.9169993
7.66E-4,5.9169993
7.68E-4,5.9169993
7.7E-4,5.9169993
7.72E-4,5.9169993
7.74E-4,5.9169993
7.76E-4,5.9169993
7.78E-4,5.9169993
7.8E-4,5.9169993
7.82E-4,5.9169993
7.84E-4,5.9169993
7.86E-4,5.9169993
7.88E-4,5.9169993
7.9E-4,5.9169993
7.92E-4,5.9169993
7.94E-4,5.9169993
7.96E-4,5.9169993
7.98E-4,5.9169993
8.0E-4,5.9169993
8.02E-4,5.9169993
8.04E-4,5.9169993
8.06E-4,5.9169993
8.08E-4,5.9169993
8.1E-4,5.9169993
8.12E-4,5.9169993
8.1399997E-4,5.9169993
8.16E-4,5.9169993
8.18E-4,5.9169993
8.2E-4,5.9169993
8.22E-4,5.9169993
8.24E-4,5.9169993
8.26E-4,5.9169993
8.28E-4,5.9169993
8.3E-4,5.9169993
8.32E-4,5.9169993
8.34E-4,5.9169993
8.36E-4,5.9169993
8.38E-4,5.9169993
8.4E-4,5.9169993
8.42E-4,5.9169993
8.44E-4,5.9169993
8.46E-4,5.9169993
8.48E-4,5.9169993
8.5E-4,5.9169993
8.52E-4,5.9169993
8.54E-4,5.9169993
8.56E-4,5.9169993
8.58E-4,5.9169993
8.6E-4,5.9169993
8.62E-4,5.9169993
8.64E-4,5.9169993
8.66E-4,5.9169993
8.68E-4,5.9169993
8.7E-4,5.9169993
8.72E-4,5.9169993
8.74E-4,5.9169993
8.76E-4,5.9169993
8.78E-4,5.9169993
8.8E-4,5.9169993
8.82E-4,5.9169993
8.84E-4,5.9169993
8.86E-4,5.9169993
8.88E-4,5.9169993
8.9E-4,5.9169993
8.92E-4,5.9169993
8.94E-4,5.9169993
8.96E-4,5.9169993
8.9799997E-4,5.9169993
9.0E-4,5.9169993
9.02E-4,5.9169993
9.04E-4,5.9169993
9.06E-4,5.9169993
9.08E-4,5.9169993
9.1E-4,5.9169993
9.12E-4,5.9169993
9.14E-4,5.9169993
9.16E-4,5.9169993
9.18E-4,5.9169993
9.2E-4,5.9169993
9.22E-4,5.9169993
9.24E-4,5.9169993
9.26E-4,5.9169993
9.28E-4,5.9169993
9.3E-4,5.9169993
9.32E-4,5.9169993
9.34E-4,5.9169993
9.36E-4,5.9169993
9.38E-4,5.9169993
9.4E-4,5.9169993
9.42E-4,5.9169993
9.4399997E-4,5.9169993
9.46E-4,5.9169993
9.48E-4,5.9169993
9.5E-4,5.9169993
9.52E-4,5.9169993
9.54E-4,5.9169993
9.56E-4,5.9169993
9.58E-4,5.9169993
9.6E-4,5.9169993
9.62E-4,5.9169993
9.64E-4,5.9169993
9.66E-4,5.9169993
9.68E-4,5.9169993
9.7E-4,5.9169993
9.72E-4,5.9169993
9.74E-4,5.9169993
9.76E-4,5.9169993
9.78E-4,5.9169993
9.8E-4,5.9169993
9.82E-4,5.9169993
9.84E-4,5.9169993
9.859999E-4,5.9169993
9.88E-4,5.9169993
9.9E-4,5.9169993
9.92E-4,5.9169993
9.94E-4,5.9169993
9.96E-4,5.9169993
9.98E-4,5.9169993
0.001,5.9169993
0.001002,5.9169993
0.001004,5.9169993
0.001006,5.9169993
0.001008,5.9169993
0.00101,5.9169993
0.001012,5.9169993
0.001014,5.9169993
0.001016,5.9169993
0.001018,5.9169993
