Time,CH1
0.0,1.756176
2.0E-6,1.8948698
4.0E-6,2.033564
6.0E-6,2.172258
8.0E-6,2.2647214
1.0E-5,2.4034152
1.2E-5,2.542109
1.4E-5,2.6808028
1.6E-5,2.8194976
1.8E-5,2.9581914
2.0E-5,3.0968862
2.2E-5,3.23558
2.4E-5,3.3742738
2.6E-5,3.4667363
2.8E-5,3.605431
3.0E-5,3.6978936
3.2E-5,3.8365874
3.4E-5,3.92905
3.6E-5,4.0677447
3.8E-5,4.1602073
4.0E-5,4.252671
4.2E-5,4.3451324
4.4E-5,4.3913646
4.6E-5,4.437596
4.8E-5,4.5300584
5.0E-5,4.5762897
5.2E-5,4.622521
5.4E-5,4.668752
5.6E-5,4.7149835
5.8E-5,4.7149835
6.0E-5,4.7149835
6.2E-5,4.7612157
6.4E-5,4.7612157
6.6E-5,4.7149835
6.8E-5,4.7149835
7.0E-5,4.668752
7.2E-5,4.668752
7.4E-5,4.622521
7.6E-5,4.5762897
7.8E-5,4.483826
8.0E-5,4.437596
8.2E-5,4.3913646
8.4E-5,4.298901
8.6E-5,4.2064385
8.8E-5,4.113976
9.0E-5,4.0215135
9.2E-5,3.92905
9.4E-5,3.8365874
9.6E-5,3.6978936
9.8E-5,3.605431
1.0E-4,3.4667363
1.02E-4,3.3280425
1.04E-4,3.1893477
1.06E-4,3.0968862
1.08E-4,2.9581914
1.1E-4,2.8194976
1.12E-4,2.6808028
1.14E-4,2.542109
1.16E-4,2.4034152
1.17999996E-4,2.2647214
1.2E-4,2.126027
1.22E-4,1.9873328
1.24E-4,1.8948698
1.26E-4,1.756176
1.28E-4,1.6174817
1.3E-4,1.5250192
1.32E-4,1.4325566
1.34E-4,1.2938623
1.36E-4,1.2013993
1.38E-4,1.1089368
1.4E-4,1.0164738
1.42E-4,0.92401123
1.44E-4,0.87777996
1.46E-4,0.7853174
1.48E-4,0.7390857
1.4999999E-4,0.64662313
1.52E-4,0.60039186
1.54E-4,0.5541601
1.56E-4,0.5541601
1.58E-4,0.50792885
1.6E-4,0.50792885
1.62E-4,0.50792885
1.64E-4,0.50792885
1.66E-4,0.50792885
1.68E-4,0.50792885
1.7E-4,0.5541601
1.72E-4,0.60039186
1.74E-4,0.64662313
1.76E-4,0.6928544
1.78E-4,0.7390857
1.8E-4,0.7853174
1.82E-4,0.87777996
1.84E-4,0.970243
1.86E-4,1.0164738
1.88E-4,1.1089368
1.9E-4,1.2476311
1.92E-4,1.3400936
1.94E-4,1.4325566
1.96E-4,1.5250192
1.98E-4,1.6637135
2.0E-4,1.756176
2.02E-4,1.8948698
2.04E-4,2.033564
2.06E-4,2.172258
2.08E-4,2.3109517
2.1E-4,2.4034152
2.12E-4,2.542109
2.14E-4,2.6808028
2.16E-4,2.8194976
2.18E-4,2.9581914
2.2E-4,3.0968862
2.22E-4,3.23558
2.24E-4,3.3742738
2.26E-4,3.4667363
2.28E-4,3.605431
2.3E-4,3.744125
2.32E-4,3.8365874
2.34E-4,3.92905
2.3599999E-4,4.0677447
2.38E-4,4.1602073
2.4E-4,4.252671
2.42E-4,4.3451324
2.44E-4,4.3913646
2.46E-4,4.437596
2.48E-4,4.5300584
2.5E-4,4.5762897
2.52E-4,4.622521
2.54E-4,4.668752
2.56E-4,4.7149835
2.58E-4,4.7149835
2.6E-4,4.7612157
2.62E-4,4.7612157
2.64E-4,4.7612157
2.66E-4,4.7612157
2.68E-4,4.7149835
2.7E-4,4.7149835
2.72E-4,4.668752
2.74E-4,4.622521
2.76E-4,4.5762897
2.78E-4,4.5300584
2.8E-4,4.437596
2.82E-4,4.3913646
2.84E-4,4.298901
2.86E-4,4.252671
2.88E-4,4.1602073
2.9E-4,4.0215135
2.92E-4,3.92905
2.94E-4,3.8365874
2.96E-4,3.6978936
2.98E-4,3.605431
2.9999999E-4,3.4667363
3.02E-4,3.3280425
3.04E-4,3.23558
3.06E-4,3.0968862
3.08E-4,2.9581914
3.1E-4,2.8194976
3.12E-4,2.6808028
3.14E-4,2.542109
3.16E-4,2.4034152
3.18E-4,2.2647214
3.2E-4,2.126027
3.22E-4,2.033564
3.24E-4,1.8948698
3.26E-4,1.756176
3.28E-4,1.6174817
3.3E-4,1.5250192
3.32E-4,1.4325566
3.34E-4,1.2938623
3.36E-4,1.2013993
3.38E-4,1.1089368
3.4E-4,1.0164738
3.4199998E-4,0.92401123
3.44E-4,0.87777996
3.46E-4,0.7853174
3.48E-4,0.7390857
3.5E-4,0.64662313
3.52E-4,0.60039186
3.54E-4,0.5541601
3.56E-4,0.5541601
3.58E-4,0.50792885
3.6E-4,0.50792885
3.62E-4,0.50792885
3.64E-4,0.50792885
3.66E-4,0.50792885
3.68E-4,0.50792885
3.7E-4,0.5541601
3.72E-4,0.60039186
3.74E-4,0.60039186
3.76E-4,0.6928544
3.78E-4,0.7390857
3.8E-4,0.7853174
3.82E-4,0.87777996
3.84E-4,0.92401123
3.86E-4,1.0164738
3.88E-4,1.1089368
3.9E-4,1.2476311
3.92E-4,1.3400936
3.94E-4,1.4325566
3.96E-4,1.5250192
3.98E-4,1.6637135
4.0E-4,1.756176
4.02E-4,1.8948698
4.04E-4,2.033564
4.06E-4,2.172258
4.08E-4,2.3109517
4.1E-4,2.4034152
4.12E-4,2.542109
4.14E-4,2.6808028
4.16E-4,2.8194976
4.18E-4,2.9581914
4.2E-4,3.0968862
4.22E-4,3.23558
4.24E-4,3.3742738
4.26E-4,3.4667363
4.28E-4,3.605431
4.3E-4,3.744125
4.32E-4,3.8365874
4.34E-4,3.92905
4.36E-4,4.0677447
4.38E-4,4.1602073
4.4E-4,4.252671
4.42E-4,4.3451324
4.44E-4,4.3913646
4.46E-4,4.437596
4.48E-4,4.5300584
4.5E-4,4.5762897
4.52E-4,4.622521
4.54E-4,4.668752
4.56E-4,4.7149835
4.58E-4,4.7149835
4.6E-4,4.7612157
4.62E-4,4.7612157
4.64E-4,4.7612157
4.66E-4,4.7612157
4.68E-4,4.7149835
4.7E-4,4.7149835
4.7199999E-4,4.668752
4.74E-4,4.622521
4.76E-4,4.5762897
4.78E-4,4.5300584
4.8E-4,4.437596
4.82E-4,4.3913646
4.84E-4,4.298901
4.86E-4,4.252671
4.88E-4,4.1602073
4.9E-4,4.0215135
4.92E-4,3.92905
4.94E-4,3.8365874
4.96E-4,3.6978936
4.98E-4,3.605431
5.0E-4,3.4667363
5.02E-4,3.3280425
5.04E-4,3.23558
5.06E-4,3.0968862
5.08E-4,2.9581914
5.1E-4,2.8194976
5.12E-4,2.6808028
5.14E-4,2.542109
5.16E-4,2.4034152
5.18E-4,2.2647214
5.2E-4,2.126027
5.22E-4,1.9873328
5.24E-4,1.8948698
5.26E-4,1.756176
5.28E-4,1.6174817
5.3E-4,1.5250192
5.32E-4,1.4325566
5.34E-4,1.2938623
5.36E-4,1.2013993
5.38E-4,1.1089368
5.4E-4,1.0164738
5.42E-4,0.92401123
5.44E-4,0.87777996
5.46E-4,0.7853174
5.48E-4,0.7390857
5.5E-4,0.64662313
5.52E-4,0.60039186
5.54E-4,0.5541601
5.56E-4,0.5541601
5.58E-4,0.50792885
5.6E-4,0.50792885
5.62E-4,0.50792885
5.64E-4,0.50792885
5.66E-4,0.50792885
5.68E-4,0.50792885
5.7E-4,0.5541601
5.72E-4,0.60039186
5.74E-4,0.60039186
5.76E-4,0.6928544
5.78E-4,0.7390857
5.8E-4,0.7853174
5.82E-4,0.87777996
5.84E-4,0.92401123
5.86E-4,1.0164738
5.88E-4,1.1089368
5.9E-4,1.2013993
5.92E-4,1.3400936
5.94E-4,1.4325566
5.96E-4,1.5250192
5.98E-4,1.6637135
5.9999997E-4,1.756176
6.02E-4,1.8948698
6.04E-4,2.033564
6.06E-4,2.172258
6.08E-4,2.2647214
6.1E-4,2.4034152
6.12E-4,2.542109
6.14E-4,2.6808028
6.16E-4,2.8194976
6.18E-4,2.9581914
6.2E-4,3.0968862
6.22E-4,3.23558
6.24E-4,3.3742738
6.26E-4,3.4667363
6.28E-4,3.605431
6.3E-4,3.744125
