Time,CH1
0.0,2.172258
2.0E-6,2.5883412
4.0E-6,2.9581914
6.0E-6,3.3742738
8.0E-6,3.744125
1.0E-5,4.1602073
1.2E-5,4.5300584
1.4E-5,4.8999095
1.6E-5,4.807446
1.8E-5,4.437596
2.0E-5,4.0677447
2.2E-5,3.6978936
2.4E-5,3.2818112
2.6E-5,2.9119601
2.8E-5,2.4958777
3.0E-5,2.126027
3.2E-5,1.7099442
3.4E-5,1.3863249
3.6E-5,0.970243
3.8E-5,0.60039186
4.0E-5,0.184309
4.2E-5,-0.2317729
4.4E-5,-0.601624
4.6E-5,-1.0177064
4.8E-5,-1.387557
5.0E-5,-1.7574081
5.2E-5,-1.5262513
5.4E-5,-1.202632
5.6E-5,-0.78654957
5.8E-5,-0.41669846
6.0E-5,-0.046847343
6.2E-5,0.36923456
6.4E-5,0.7390857
6.6E-5,1.1551685
6.8E-5,1.4787879
7.0E-5,1.8948698
7.2E-5,2.2647214
7.4E-5,2.6808028
7.6E-5,3.050654
7.8E-5,3.4667363
8.0E-5,3.8828197
8.2E-5,4.252671
8.4E-5,4.622521
8.6E-5,4.992371
8.8E-5,4.668752
9.0E-5,4.3451324
9.2E-5,3.92905
9.4E-5,3.5591989
9.6E-5,3.1893477
9.8E-5,2.7732663
1.0E-4,2.4034152
1.02E-4,2.033564
1.04E-4,1.6174817
1.06E-4,1.2476311
1.08E-4,0.87777996
1.1E-4,0.46169758
1.12E-4,0.091846466
1.14E-4,-0.32423592
1.16E-4,-0.7403178
1.17999996E-4,-1.1101689
1.2E-4,-1.48002
1.22E-4,-1.7574081
1.24E-4,-1.48002
1.26E-4,-1.0639377
1.28E-4,-0.694087
1.3E-4,-0.32423592
1.32E-4,0.091846466
1.34E-4,0.46169758
1.36E-4,0.8315482
1.38E-4,1.2476311
1.4E-4,1.6174817
1.42E-4,1.9873328
1.44E-4,2.4034152
1.46E-4,2.7732663
1.48E-4,3.1893477
1.4999999E-4,3.605431
1.52E-4,3.9752812
1.54E-4,4.3913646
1.56E-4,4.7612157
1.58E-4,4.946141
1.6E-4,4.5762897
1.62E-4,4.2064385
1.64E-4,3.8365874
1.66E-4,3.4667363
1.68E-4,3.050654
1.7E-4,2.6808028
1.72E-4,2.3109517
1.74E-4,1.8948698
1.76E-4,1.5250192
1.78E-4,1.1551685
1.8E-4,0.7390857
1.82E-4,0.36923456
1.84E-4,-0.046847343
1.86E-4,-0.41669846
1.88E-4,-0.83278084
1.9E-4,-1.2488632
1.92E-4,-1.5724826
1.94E-4,-1.7111769
1.96E-4,-1.3413262
1.98E-4,-0.9714751
2.0E-4,-0.601624
2.02E-4,-0.18554163
2.04E-4,0.184309
2.06E-4,0.60039186
2.08E-4,0.970243
2.1E-4,1.3400936
2.12E-4,1.7099442
2.14E-4,2.126027
2.16E-4,2.4958777
2.18E-4,2.9119601
2.2E-4,3.2818112
2.22E-4,3.6978936
2.24E-4,4.113976
2.26E-4,4.437596
2.28E-4,4.8536773
2.3E-4,4.8536773
2.32E-4,4.483826
2.34E-4,4.113976
2.3599999E-4,3.744125
2.38E-4,3.3280425
2.4E-4,2.9581914
2.42E-4,2.5883412
2.44E-4,2.172258
2.46E-4,1.8024073
2.48E-4,1.4325566
2.5E-4,1.0164738
2.52E-4,0.64662313
2.54E-4,0.23054075
2.56E-4,-0.13931036
2.58E-4,-0.55539227
2.6E-4,-0.9252434
2.62E-4,-1.3413262
2.64E-4,-1.7111769
2.66E-4,-1.6187139
2.68E-4,-1.2488632
2.7E-4,-0.8790121
2.72E-4,-0.46292973
2.74E-4,-0.09307861
2.76E-4,0.3230033
2.78E-4,0.6928544
2.8E-4,1.0627055
2.82E-4,1.4787879
2.84E-4,1.8486385
2.86E-4,2.2184901
2.88E-4,2.6345725
2.9E-4,3.0044227
2.92E-4,3.420505
2.94E-4,3.7903562
2.96E-4,4.2064385
2.98E-4,4.5762897
2.9999999E-4,4.946141
3.02E-4,4.7612157
