Time,CH1
0.0,1.0164738
2.5E-6,1.0627055
5.0E-6,1.0627055
7.5E-6,1.1089368
1.0E-5,1.1551685
1.25E-5,1.1551685
1.5E-5,1.2013993
1.7499999E-5,1.2013993
2.0E-5,1.2476311
2.25E-5,1.2476311
2.5E-5,1.2938623
2.7499998E-5,1.2938623
3.0E-5,1.3400936
3.25E-5,1.3400936
3.4999997E-5,1.3863249
3.7499998E-5,1.3863249
4.0E-5,1.4325566
4.25E-5,1.4325566
4.5E-5,1.4787879
4.7499998E-5,1.4787879
5.0E-5,1.4787879
5.25E-5,1.5250192
5.4999997E-5,1.5250192
5.7499998E-5,1.5250192
6.0E-5,1.5712504
6.2499996E-5,1.5712504
6.5E-5,1.6174817
6.75E-5,1.6174817
6.9999995E-5,1.6174817
7.25E-5,1.6637135
7.4999996E-5,1.6637135
7.75E-5,1.7099442
8.0E-5,1.7099442
8.2499995E-5,1.7099442
8.5E-5,1.756176
8.75E-5,1.756176
9.0E-5,1.756176
9.25E-5,1.756176
9.4999996E-5,1.8024073
9.75E-5,1.8024073
1.0E-4,1.8024073
1.02499995E-4,1.8486385
1.05E-4,1.8486385
1.075E-4,1.8486385
1.0999999E-4,1.8486385
1.125E-4,1.8948698
1.14999995E-4,1.8948698
1.175E-4,1.8948698
1.2E-4,1.8948698
1.225E-4,1.8948698
1.2499999E-4,1.9411016
1.275E-4,1.9411016
1.3E-4,1.9411016
1.3249999E-4,1.9411016
1.35E-4,1.9411016
1.375E-4,1.9411016
1.3999999E-4,1.9411016
1.425E-4,1.9411016
1.45E-4,1.9873328
1.475E-4,1.9873328
1.4999999E-4,1.9873328
1.525E-4,1.9873328
1.55E-4,1.9873328
1.5749999E-4,1.9873328
1.6E-4,1.9873328
1.625E-4,1.9873328
1.6499999E-4,1.9873328
1.675E-4,1.9873328
1.7E-4,1.9873328
1.7249999E-4,1.9873328
1.75E-4,1.9873328
1.775E-4,1.9873328
1.8E-4,1.9873328
1.8249999E-4,1.9873328
1.85E-4,1.9873328
1.875E-4,1.9411016
1.8999999E-4,1.9411016
1.925E-4,1.9411016
1.95E-4,1.9411016
1.9749999E-4,1.9411016
2.0E-4,1.9411016
2.025E-4,1.9411016
2.0499999E-4,1.9411016
2.075E-4,1.8948698
2.1E-4,1.8948698
2.1249999E-4,1.8948698
2.15E-4,1.8948698
2.175E-4,1.8948698
2.1999999E-4,1.8486385
2.2249999E-4,1.8486385
2.25E-4,1.8486385
2.275E-4,1.8486385
2.2999999E-4,1.8024073
2.325E-4,1.8024073
2.35E-4,1.8024073
2.3749999E-4,1.8024073
2.4E-4,1.756176
2.425E-4,1.756176
2.45E-4,1.756176
2.475E-4,1.7099442
2.4999998E-4,1.7099442
2.525E-4,1.7099442
2.55E-4,1.6637135
2.5749998E-4,1.6637135
2.6E-4,1.6637135
2.625E-4,1.6174817
2.6499998E-4,1.6174817
2.675E-4,1.6174817
2.7E-4,1.5712504
2.7249998E-4,1.5712504
2.75E-4,1.5250192
2.775E-4,1.5250192
2.7999998E-4,1.4787879
2.825E-4,1.4787879
2.85E-4,1.4787879
2.875E-4,1.4787879
2.9E-4,1.4325566
2.925E-4,1.4325566
2.95E-4,1.3863249
2.975E-4,1.3863249
2.9999999E-4,1.3400936
3.025E-4,1.3400936
3.05E-4,1.2938623
3.0749998E-4,1.2938623
3.1E-4,1.2476311
3.125E-4,1.2476311
3.1499998E-4,1.2013993
3.175E-4,1.2013993
3.2E-4,1.1551685
3.2249998E-4,1.1089368
3.25E-4,1.1089368
3.275E-4,1.0627055
3.2999998E-4,1.0627055
3.325E-4,1.0164738
3.35E-4,1.0164738
3.3749998E-4,0.970243
3.4E-4,0.92401123
3.425E-4,0.92401123
3.4499998E-4,0.87777996
3.475E-4,0.87777996
3.5E-4,0.8315482
3.5249998E-4,0.7853174
3.55E-4,0.7853174
3.575E-4,0.7390857
3.6E-4,0.7390857
3.625E-4,0.6928544
3.6499999E-4,0.64662313
3.675E-4,0.64662313
3.7E-4,0.60039186
3.7249998E-4,0.60039186
3.75E-4,0.5541601
3.775E-4,0.50792885
3.7999998E-4,0.50792885
3.825E-4,0.46169758
3.85E-4,0.4154663
3.8749998E-4,0.4154663
3.9E-4,0.36923456
3.925E-4,0.3230033
3.9499998E-4,0.3230033
3.975E-4,0.27677202
4.0E-4,0.23054075
4.0249998E-4,0.23054075
4.05E-4,0.184309
4.075E-4,0.13807821
4.0999998E-4,0.13807821
4.125E-4,0.091846466
4.15E-4,0.091846466
4.1749998E-4,0.045615196
4.2E-4,-6.160736E-4
4.225E-4,-0.046847343
4.2499998E-4,-0.046847343
4.275E-4,-0.09307861
4.3E-4,-0.13931036
4.3249998E-4,-0.13931036
4.35E-4,-0.18554163
4.3749998E-4,-0.18554163
4.3999997E-4,-0.2317729
4.425E-4,-0.27800417
4.4499998E-4,-0.27800417
4.475E-4,-0.32423592
4.5E-4,-0.3704667
4.5249998E-4,-0.3704667
4.55E-4,-0.41669846
4.575E-4,-0.46292973
4.5999998E-4,-0.46292973
4.625E-4,-0.5091615
4.65E-4,-0.5091615
4.6749998E-4,-0.55539227
4.7E-4,-0.601624
4.725E-4,-0.601624
4.7499998E-4,-0.6478553
4.775E-4,-0.694087
4.8E-4,-0.694087
4.8249998E-4,-0.7403178
4.85E-4,-0.7403178
4.875E-4,-0.78654957
4.9E-4,-0.78654957
4.9249997E-4,-0.83278084
4.95E-4,-0.8790121
4.975E-4,-0.8790121
4.9999997E-4,-0.9252434
5.025E-4,-0.9252434
5.05E-4,-0.9714751
5.0749996E-4,-0.9714751
5.1E-4,-1.0177064
5.125E-4,-1.0177064
5.1499996E-4,-1.0639377
5.175E-4,-1.0639377
5.2E-4,-1.1101689
5.2249996E-4,-1.1564007
5.25E-4,-1.1564007
5.275E-4,-1.202632
5.2999996E-4,-1.202632
5.325E-4,-1.2488632
5.35E-4,-1.2488632
5.3749996E-4,-1.2488632
5.4E-4,-1.2950945
5.425E-4,-1.2950945
5.4499996E-4,-1.3413262
5.475E-4,-1.3413262
5.5E-4,-1.387557
5.5249996E-4,-1.387557
5.55E-4,-1.387557
5.575E-4,-1.4337888
5.5999996E-4,-1.4337888
5.625E-4,-1.48002
5.65E-4,-1.48002
5.675E-4,-1.48002
5.7E-4,-1.48002
5.725E-4,-1.5262513
5.75E-4,-1.5262513
5.775E-4,-1.5262513
5.8E-4,-1.5724826
5.825E-4,-1.5724826
5.85E-4,-1.5724826
5.875E-4,-1.6187139
5.9E-4,-1.6187139
5.925E-4,-1.6187139
5.95E-4,-1.6187139
5.975E-4,-1.6649456
5.9999997E-4,-1.6649456
6.025E-4,-1.6649456
6.05E-4,-1.6649456
6.0749997E-4,-1.7111769
6.1E-4,-1.7111769
6.125E-4,-1.7111769
6.1499997E-4,-1.7111769
6.175E-4,-1.7574081
6.2E-4,-1.7574081
6.2249997E-4,-1.7574081
6.25E-4,-1.7574081
6.275E-4,-1.7574081
6.2999997E-4,-1.7574081
6.325E-4,-1.7574081
6.35E-4,-1.8036394
6.3749996E-4,-1.8036394
6.4E-4,-1.8036394
6.425E-4,-1.8036394
6.4499996E-4,-1.8036394
6.475E-4,-1.8036394
6.5E-4,-1.8036394
6.5249996E-4,-1.8036394
6.55E-4,-1.8036394
6.575E-4,-1.8036394
6.5999996E-4,-1.8036394
6.625E-4,-1.8036394
6.65E-4,-1.8036394
6.6749996E-4,-1.8036394
6.7E-4,-1.8036394
6.725E-4,-1.8036394
6.7499996E-4,-1.8036394
6.775E-4,-1.8036394
6.8E-4,-1.8036394
6.8249996E-4,-1.8036394
6.85E-4,-1.8036394
6.875E-4,-1.8036394
6.8999996E-4,-1.8036394
6.925E-4,-1.8036394
6.95E-4,-1.8036394
6.9749996E-4,-1.7574081
7.0E-4,-1.7574081
7.025E-4,-1.7574081
7.0499995E-4,-1.7574081
7.075E-4,-1.7574081
7.1E-4,-1.7574081
7.1249995E-4,-1.7111769
7.15E-4,-1.7111769
7.175E-4,-1.7111769
7.2E-4,-1.7111769
7.225E-4,-1.7111769
7.25E-4,-1.6649456
7.275E-4,-1.6649456
7.2999997E-4,-1.6649456
7.325E-4,-1.6649456
7.35E-4,-1.6187139
7.3749997E-4,-1.6187139
7.4E-4,-1.6187139
7.425E-4,-1.6187139
7.4499997E-4,-1.5724826
7.475E-4,-1.5724826
7.5E-4,-1.5724826
7.5249997E-4,-1.5262513
7.55E-4,-1.5262513
7.575E-4,-1.5262513
7.5999997E-4,-1.48002
7.625E-4,-1.48002
7.65E-4,-1.48002
7.6749997E-4,-1.48002
7.7E-4,-1.4337888
7.725E-4,-1.4337888
7.7499996E-4,-1.387557
7.775E-4,-1.387557
7.8E-4,-1.387557
7.8249996E-4,-1.3413262
7.85E-4,-1.3413262
7.875E-4,-1.2950945
7.8999996E-4,-1.2950945
7.925E-4,-1.2950945
7.95E-4,-1.2488632
7.9749996E-4,-1.2488632
8.0E-4,-1.202632
8.025E-4,-1.202632
8.0499996E-4,-1.1564007
8.075E-4,-1.1564007
8.1E-4,-1.1101689
8.1249996E-4,-1.1101689
8.15E-4,-1.0639377
8.175E-4,-1.0639377
8.1999996E-4,-1.0177064
8.225E-4,-1.0177064
8.25E-4,-0.9714751
8.2749996E-4,-0.9714751
8.3E-4,-0.9252434
8.325E-4,-0.9252434
8.3499996E-4,-0.8790121
8.375E-4,-0.83278084
8.4E-4,-0.83278084
8.4249995E-4,-0.78654957
8.45E-4,-0.78654957
8.475E-4,-0.7403178
8.4999995E-4,-0.7403178
8.525E-4,-0.694087
8.55E-4,-0.6478553
8.5749995E-4,-0.6478553
8.6E-4,-0.601624
8.625E-4,-0.601624
8.6499995E-4,-0.55539227
8.6749997E-4,-0.55539227
8.7E-4,-0.5091615
8.7249995E-4,-0.46292973
8.7499997E-4,-0.46292973
8.775E-4,-0.41669846
8.7999995E-4,-0.3704667
8.8249997E-4,-0.3704667
8.85E-4,-0.32423592
8.875E-4,-0.32423592
8.8999997E-4,-0.27800417
8.925E-4,-0.2317729
8.95E-4,-0.2317729
8.9749997E-4,-0.18554163
9.0E-4,-0.18554163
9.025E-4,-0.13931036
9.0499996E-4,-0.09307861
9.075E-4,-0.09307861
9.1E-4,-0.046847343
9.1249996E-4,-0.046847343
9.15E-4,-6.160736E-4
9.175E-4,0.045615196
9.1999996E-4,0.045615196
9.225E-4,0.091846466
9.25E-4,0.13807821
9.2749996E-4,0.13807821
9.3E-4,0.184309
9.325E-4,0.23054075
9.3499996E-4,0.23054075
9.375E-4,0.27677202
9.4E-4,0.27677202
9.4249996E-4,0.3230033
9.45E-4,0.36923456
9.475E-4,0.36923456
9.4999996E-4,0.4154663
9.525E-4,0.4154663
9.55E-4,0.46169758
9.5749996E-4,0.50792885
9.6E-4,0.50792885
9.625E-4,0.5541601
9.6499996E-4,0.5541601
9.675E-4,0.60039186
9.7E-4,0.64662313
9.7249995E-4,0.64662313
9.75E-4,0.6928544
9.775E-4,0.6928544
9.8E-4,0.7390857
9.825E-4,0.7390857
9.849999E-4,0.7853174
9.875E-4,0.7853174
9.9E-4,0.8315482
9.925E-4,0.8315482
9.95E-4,0.87777996
9.975E-4,0.92401123
9.999999E-4,0.92401123
0.0010025,0.970243
0.001005,0.970243
0.0010075,1.0164738
0.00101,1.0164738
0.0010125,1.0627055
0.0010149999,1.0627055
0.0010175,1.1089368
0.00102,1.1089368
0.0010225,1.1551685
0.001025,1.1551685
0.0010275,1.2013993
0.0010299999,1.2013993
0.0010325,1.2013993
0.001035,1.2476311
0.0010375,1.2476311
0.00104,1.2938623
0.0010425,1.2938623
0.0010449999,1.3400936
0.0010475,1.3400936
0.00105,1.3400936
0.0010525,1.3863249
0.001055,1.3863249
0.0010575,1.4325566
0.0010599999,1.4325566
0.0010624999,1.4325566
0.001065,1.4787879
0.0010675,1.4787879
0.00107,1.4787879
0.0010725,1.4787879
0.0010749999,1.4787879
0.0010774999,1.5250192
0.00108,1.5250192
0.0010825,1.5250192
0.001085,1.5712504
0.0010875,1.5712504
0.0010899999,1.5712504
0.0010924999,1.5712504
0.001095,1.6174817
0.0010975,1.6174817
0.0011,1.6174817
0.0011025,1.6174817
0.0011049999,1.6637135
0.0011074999,1.6637135
0.00111,1.6637135
0.0011125,1.6637135
0.001115,1.7099442
0.0011175,1.7099442
0.0011199999,1.7099442
0.0011224999,1.7099442
0.001125,1.7099442
0.0011275,1.7099442
0.00113,1.7099442
0.0011325,1.7099442
0.001135,1.756176
0.0011374999,1.756176
0.00114,1.756176
0.0011425,1.756176
0.001145,1.756176
0.0011475,1.756176
0.00115,1.756176
0.0011524999,1.756176
0.001155,1.756176
0.0011575,1.756176
0.00116,1.756176
0.0011625,1.756176
0.001165,1.756176
0.0011674999,1.756176
0.00117,1.756176
0.0011725,1.756176
0.001175,1.756176
0.0011775,1.756176
0.00118,1.756176
0.0011824999,1.756176
0.001185,1.756176
0.0011875,1.756176
0.00119,1.756176
0.0011925,1.756176
0.001195,1.756176
0.0011974999,1.7099442
0.0011999999,1.7099442
0.0012025,1.7099442
0.001205,1.7099442
0.0012075,1.7099442
0.00121,1.7099442
0.0012124999,1.6637135
0.0012149999,1.6637135
0.0012175,1.6637135
