Time,CH1
0.0,-0.18554163
2.0E-6,1.2013993
4.0E-6,2.4496465
6.0E-6,3.605431
8.0E-6,4.483826
1.0E-5,5.0848346
1.2E-5,5.4084544
1.4E-5,5.362222
1.6E-5,4.992371
1.8E-5,4.298901
2.0E-5,3.3280425
2.2E-5,2.172258
2.4E-5,0.87777996
2.6E-5,-0.46292973
2.8E-5,-1.7574081
3.0E-5,-3.0056553
3.2E-5,-4.068977
3.4E-5,-4.8086786
3.6E-5,-5.2709923
3.8E-5,-5.4096866
4.0E-5,-5.1785297
4.2E-5,-4.669985
4.4E-5,-3.8378198
4.6E-5,-2.7744985
4.8E-5,-1.5262513
5.0E-5,-0.18554163
5.2E-5,1.2013993
5.4E-5,2.4496465
5.6E-5,3.605431
5.8E-5,4.483826
6.0E-5,5.0848346
6.2E-5,5.4084544
6.4E-5,5.362222
6.6E-5,4.992371
6.8E-5,4.298901
7.0E-5,3.3280425
7.2E-5,2.172258
7.4E-5,0.87777996
7.6E-5,-0.46292973
7.8E-5,-1.8036394
8.0E-5,-3.0056553
8.2E-5,-4.068977
8.4E-5,-4.8086786
8.6E-5,-5.2709923
8.8E-5,-5.4096866
9.0E-5,-5.224761
9.2E-5,-4.669985
9.4E-5,-3.8378198
9.6E-5,-2.7744985
9.8E-5,-1.5262513
1.0E-4,-0.18554163
1.02E-4,1.2013993
1.04E-4,2.4496465
1.06E-4,3.605431
1.08E-4,4.483826
1.1E-4,5.0848346
1.12E-4,5.4084544
1.14E-4,5.362222
1.16E-4,4.992371
1.17999996E-4,4.298901
1.2E-4,3.3280425
1.22E-4,2.172258
1.24E-4,0.87777996
1.26E-4,-0.46292973
1.28E-4,-1.8036394
1.3E-4,-3.0056553
1.32E-4,-4.068977
1.34E-4,-4.8086786
1.36E-4,-5.2709923
1.38E-4,-5.4096866
1.4E-4,-5.224761
1.42E-4,-4.669985
1.44E-4,-3.8840513
1.46E-4,-2.7744985
1.48E-4,-1.5262513
1.4999999E-4,-0.18554163
1.52E-4,1.2013993
1.54E-4,2.4496465
1.56E-4,3.605431
1.58E-4,4.483826
1.6E-4,5.0848346
1.62E-4,5.4084544
1.64E-4,5.362222
1.66E-4,4.992371
1.68E-4,4.298901
1.7E-4,3.3280425
1.72E-4,2.172258
1.74E-4,0.87777996
1.76E-4,-0.46292973
1.78E-4,-1.8036394
1.8E-4,-3.0056553
1.82E-4,-4.068977
1.84E-4,-4.8086786
1.86E-4,-5.2709923
1.88E-4,-5.4096866
1.9E-4,-5.224761
1.92E-4,-4.669985
1.94E-4,-3.8378198
1.96E-4,-2.7744985
1.98E-4,-1.5262513
2.0E-4,-0.18554163
2.02E-4,1.2013993
2.04E-4,2.4496465
2.06E-4,3.605431
2.08E-4,4.483826
2.1E-4,5.0848346
