Time,CH1
0.0,3.8365874
2.0E-6,3.92905
4.0E-6,4.0215135
6.0E-6,4.113976
8.0E-6,4.2064385
1.0E-5,4.298901
1.2E-5,4.3913646
1.4E-5,4.437596
1.6E-5,4.483826
1.8E-5,4.5762897
2.0E-5,4.622521
2.2E-5,4.7149835
2.4E-5,4.7612157
2.6E-5,4.807446
2.8E-5,4.8536773
3.0E-5,4.8999095
3.2E-5,4.946141
3.4E-5,4.992371
3.6E-5,4.992371
3.8E-5,5.0386033
4.0E-5,5.0386033
4.2E-5,5.0848346
4.4E-5,5.0848346
4.6E-5,5.0848346
4.8E-5,5.0848346
5.0E-5,5.0848346
5.2E-5,5.0848346
5.4E-5,5.0848346
5.6E-5,5.0386033
5.8E-5,5.0386033
6.0E-5,4.992371
6.2E-5,4.992371
6.4E-5,4.946141
6.6E-5,4.8999095
6.8E-5,4.8536773
7.0E-5,4.807446
7.2E-5,4.7612157
7.4E-5,4.7149835
7.6E-5,4.622521
7.8E-5,4.5762897
8.0E-5,4.483826
8.2E-5,4.437596
8.4E-5,4.3913646
8.6E-5,4.298901
8.8E-5,4.2064385
9.0E-5,4.113976
9.2E-5,4.0215135
9.4E-5,3.92905
9.6E-5,3.8365874
9.8E-5,3.6978936
1.0E-4,3.605431
1.02E-4,3.5129685
1.04E-4,3.3742738
1.06E-4,3.2818112
1.08E-4,3.1431174
1.1E-4,3.0044227
1.12E-4,2.8657289
1.14E-4,2.7732663
1.16E-4,2.6345725
1.17999996E-4,2.4958777
1.2E-4,2.357184
1.22E-4,2.2184901
1.24E-4,2.0797954
1.26E-4,1.9411016
1.28E-4,1.756176
1.3E-4,1.6174817
1.32E-4,1.4787879
1.34E-4,1.3400936
1.36E-4,1.2013993
1.38E-4,1.0627055
1.4E-4,0.87777996
1.42E-4,0.7390857
1.44E-4,0.5541601
1.46E-4,0.4154663
1.48E-4,0.27677202
1.4999999E-4,0.091846466
1.52E-4,-0.046847343
1.54E-4,-0.2317729
1.56E-4,-0.3704667
1.58E-4,-0.5091615
1.6E-4,-0.694087
1.62E-4,-0.83278084
1.64E-4,-1.0177064
1.66E-4,-1.1564007
1.68E-4,-1.2950945
1.7E-4,-1.48002
1.72E-4,-1.5724826
1.74E-4,-1.7574081
1.76E-4,-1.8961024
1.78E-4,-2.0347965
1.8E-4,-2.1734905
1.82E-4,-2.3121846
1.84E-4,-2.4508786
1.86E-4,-2.589573
1.88E-4,-2.728267
1.9E-4,-2.866961
1.92E-4,-3.0056553
1.94E-4,-3.1443493
1.96E-4,-3.236812
1.98E-4,-3.3755062
2.0E-4,-3.5142004
2.02E-4,-3.6066632
2.04E-4,-3.6991258
2.06E-4,-3.8378198
2.08E-4,-3.9302826
2.1E-4,-4.022745
2.12E-4,-4.115208
2.14E-4,-4.2076707
2.16E-4,-4.3001337
2.18E-4,-4.3925962
2.2E-4,-4.4388275
2.22E-4,-4.5312905
2.24E-4,-4.577522
2.26E-4,-4.669985
2.28E-4,-4.716216
2.3E-4,-4.7624474
2.32E-4,-4.8086786
2.34E-4,-4.85491
2.3599999E-4,-4.9011416
2.38E-4,-4.947373
2.4E-4,-4.993604
2.42E-4,-5.0398355
2.44E-4,-5.0398355
2.46E-4,-5.0398355
2.48E-4,-5.0860667
2.5E-4,-5.0860667
2.52E-4,-5.0860667
2.54E-4,-5.0860667
2.56E-4,-5.0860667
