Time,CH1
0.0,-0.13931036
2.0E-6,0.13807821
4.0E-6,0.46169758
6.0E-6,0.7853174
8.0E-6,1.0627055
1.0E-5,1.3863249
1.2E-5,1.6174817
1.4E-5,1.8948698
1.6E-5,2.172258
1.8E-5,2.4034152
2.0E-5,2.6345725
2.2E-5,2.8194976
2.4E-5,3.0044227
2.6E-5,3.1431174
2.8E-5,3.2818112
3.0E-5,3.420505
3.2E-5,3.4667363
3.4E-5,3.5129685
3.6E-5,3.5591989
3.8E-5,3.5591989
4.0E-5,3.5129685
4.2E-5,3.4667363
4.4E-5,3.3742738
4.6E-5,3.2818112
4.8E-5,3.1431174
5.0E-5,3.0044227
5.2E-5,2.8194976
5.4E-5,2.6345725
5.6E-5,2.4034152
5.8E-5,2.172258
6.0E-5,1.8948698
6.2E-5,1.6174817
6.4E-5,1.3863249
6.6E-5,1.0627055
6.8E-5,0.7853174
7.0E-5,0.46169758
7.2E-5,0.13807821
7.4E-5,-0.13931036
7.6E-5,-0.46292973
7.8E-5,-0.78654957
8.0E-5,-1.0639377
8.2E-5,-1.3413262
8.4E-5,-1.6187139
8.6E-5,-1.8961024
8.8E-5,-2.1272593
9.0E-5,-2.3584158
9.2E-5,-2.589573
9.4E-5,-2.7744985
9.6E-5,-2.9594238
9.8E-5,-3.098118
1.0E-4,-3.236812
1.02E-4,-3.329275
1.04E-4,-3.4217377
1.06E-4,-3.467969
1.08E-4,-3.467969
1.1E-4,-3.467969
1.12E-4,-3.4217377
1.14E-4,-3.3755062
1.16E-4,-3.2830436
1.17999996E-4,-3.1905808
1.2E-4,-3.0056553
1.22E-4,-2.866961
1.24E-4,-2.6820357
1.26E-4,-2.4508786
1.28E-4,-2.2659533
1.3E-4,-1.9885652
1.32E-4,-1.7574081
1.34E-4,-1.48002
1.36E-4,-1.202632
1.38E-4,-0.8790121
1.4E-4,-0.601624
1.42E-4,-0.27800417
1.44E-4,0.045615196
1.46E-4,0.3230033
1.48E-4,0.64662313
1.4999999E-4,0.970243
1.52E-4,1.2476311
1.54E-4,1.5250192
1.56E-4,1.8024073
1.58E-4,2.033564
1.6E-4,2.3109517
1.62E-4,2.542109
1.64E-4,2.727035
1.66E-4,2.9119601
1.68E-4,3.0968862
1.7E-4,3.23558
1.72E-4,3.3742738
1.74E-4,3.4667363
1.76E-4,3.5129685
1.78E-4,3.5591989
1.8E-4,3.5591989
1.82E-4,3.5591989
1.84E-4,3.5129685
1.86E-4,3.420505
1.88E-4,3.3280425
1.9E-4,3.23558
1.92E-4,3.050654
1.94E-4,2.9119601
1.96E-4,2.6808028
1.98E-4,2.4958777
2.0E-4,2.2647214
2.02E-4,1.9873328
2.04E-4,1.756176
2.06E-4,1.4787879
2.08E-4,1.2013993
2.1E-4,0.92401123
2.12E-4,0.60039186
2.14E-4,0.27677202
2.16E-4,-0.046847343
2.18E-4,-0.32423592
2.2E-4,-0.6478553
2.22E-4,-0.9252434
2.24E-4,-1.2488632
2.26E-4,-1.48002
2.28E-4,-1.7574081
2.3E-4,-2.0347965
2.32E-4,-2.2659533
2.34E-4,-2.4971101
2.3599999E-4,-2.6820357
2.38E-4,-2.866961
