Time,CH1
0.0,0.27677202
2.0E-6,0.8315482
4.0E-6,1.4325566
6.0E-6,1.9411016
8.0E-6,2.4496465
1.0E-5,2.9119601
1.2E-5,3.3280425
1.4E-5,3.6978936
1.6E-5,3.9752812
1.8E-5,4.2064385
2.0E-5,4.3913646
2.2E-5,4.437596
2.4E-5,4.483826
2.6E-5,4.437596
2.8E-5,4.298901
3.0E-5,4.113976
3.2E-5,3.8828197
3.4E-5,3.5591989
3.6E-5,3.1893477
3.8E-5,2.7732663
4.0E-5,2.357184
4.2E-5,1.8486385
4.4E-5,1.3863249
4.6E-5,0.8315482
4.8E-5,0.3230033
5.0E-5,-0.2317729
5.2E-5,-0.7403178
5.4E-5,-1.2950945
5.6E-5,-1.7574081
5.8E-5,-2.2197218
6.0E-5,-2.6820357
6.2E-5,-3.0518866
6.4E-5,-3.4217377
6.6E-5,-3.745357
6.8E-5,-4.022745
7.0E-5,-4.2076707
7.2E-5,-4.346365
7.4E-5,-4.4388275
7.6E-5,-4.4850593
7.8E-5,-4.4388275
8.0E-5,-4.3925962
8.2E-5,-4.3001337
8.4E-5,-4.115208
8.6E-5,-3.8840513
8.8E-5,-3.6066632
9.0E-5,-3.329275
9.2E-5,-2.9594238
9.4E-5,-2.589573
9.6E-5,-2.1734905
9.8E-5,-1.7574081
1.0E-4,-1.2950945
1.02E-4,-0.83278084
1.04E-4,-0.3704667
1.06E-4,0.091846466
1.08E-4,0.5541601
1.1E-4,1.0164738
1.12E-4,1.4325566
1.14E-4,1.8486385
1.16E-4,2.2647214
1.17999996E-4,2.6345725
1.2E-4,3.0044227
1.22E-4,3.3280425
1.24E-4,3.605431
1.26E-4,3.8365874
1.28E-4,4.0677447
1.3E-4,4.2064385
1.32E-4,4.3451324
1.34E-4,4.437596
1.36E-4,4.483826
1.38E-4,4.483826
1.4E-4,4.483826
1.42E-4,4.437596
1.44E-4,4.3451324
1.46E-4,4.2064385
1.48E-4,4.0215135
1.4999999E-4,3.7903562
1.52E-4,3.5591989
1.54E-4,3.2818112
1.56E-4,3.0044227
1.58E-4,2.727035
1.6E-4,2.357184
1.62E-4,2.033564
1.64E-4,1.6637135
1.66E-4,1.3400936
1.68E-4,0.970243
1.7E-4,0.60039186
1.72E-4,0.184309
1.74E-4,-0.18554163
1.76E-4,-0.55539227
1.78E-4,-0.9252434
1.8E-4,-1.2950945
1.82E-4,-1.6187139
1.84E-4,-1.9423337
1.86E-4,-2.2659533
1.88E-4,-2.589573
1.9E-4,-2.866961
1.92E-4,-3.1443493
1.94E-4,-3.3755062
1.96E-4,-3.6066632
1.98E-4,-3.7915885
2.0E-4,-3.976514
2.02E-4,-4.1614394
2.04E-4,-4.2539024
2.06E-4,-4.3925962
2.08E-4,-4.4388275
2.1E-4,-4.4850593
2.12E-4,-4.4850593
2.14E-4,-4.4850593
2.16E-4,-4.4850593
2.18E-4,-4.4388275
2.2E-4,-4.3925962
2.22E-4,-4.3001337
2.24E-4,-4.2076707
2.26E-4,-4.068977
2.28E-4,-3.9302826
2.3E-4,-3.745357
2.32E-4,-3.5604317
2.34E-4,-3.3755062
2.3599999E-4,-3.1443493
2.38E-4,-2.9131925
2.4E-4,-2.6820357
2.42E-4,-2.4508786
2.44E-4,-2.1734905
