Time,CH1
0.0,0.36923456
2.0E-6,1.3400936
4.0E-6,2.2184901
6.0E-6,3.050654
8.0E-6,3.8365874
1.0E-5,4.5300584
1.2E-5,5.131067
1.4E-5,5.5933795
1.6E-5,5.870768
1.8E-5,5.9169993
2.0E-5,5.9169993
2.2E-5,5.9169993
2.4E-5,5.9169993
2.6E-5,5.9169993
2.8E-5,5.9169993
3.0E-5,5.2697606
3.2E-5,4.483826
3.4E-5,3.7903562
3.6E-5,3.0044227
3.8E-5,2.126027
4.0E-5,1.2476311
4.2E-5,0.3230033
4.4E-5,-0.601624
4.6E-5,-1.48002
4.8E-5,-2.4046474
5.0E-5,-3.236812
5.2E-5,-4.022745
5.4E-5,-4.669985
5.6E-5,-5.2709923
5.8E-5,-5.6870747
6.0E-5,-5.7795377
6.2E-5,-5.825769
6.4E-5,-5.825769
6.6E-5,-5.825769
6.8E-5,-5.825769
7.0E-5,-5.825769
7.2E-5,-5.7795377
7.4E-5,-5.0398355
7.6E-5,-4.346365
7.8E-5,-3.6066632
8.0E-5,-2.7744985
8.2E-5,-1.8961024
8.4E-5,-1.0177064
8.6E-5,-0.09307861
8.8E-5,0.87777996
9.0E-5,1.756176
9.2E-5,2.6345725
9.4E-5,3.4667363
9.6E-5,4.252671
9.8E-5,4.8536773
1.0E-4,5.4084544
1.02E-4,5.7783055
1.04E-4,5.9169993
1.06E-4,5.9169993
1.08E-4,5.9169993
1.1E-4,5.9169993
1.12E-4,5.9169993
1.14E-4,5.9169993
1.16E-4,5.7783055
1.17999996E-4,4.807446
1.2E-4,4.1602073
1.22E-4,3.420505
1.24E-4,2.542109
1.26E-4,1.6637135
1.28E-4,0.7853174
1.3E-4,-0.13931036
1.32E-4,-1.0639377
1.34E-4,-1.9423337
1.36E-4,-2.8207297
1.38E-4,-3.6528945
1.4E-4,-4.3925962
1.42E-4,-4.993604
1.44E-4,-5.502149
1.46E-4,-5.733306
1.48E-4,-5.825769
1.4999999E-4,-5.825769
1.52E-4,-5.825769
1.54E-4,-5.825769
1.56E-4,-5.825769
1.58E-4,-5.7795377
1.6E-4,-5.6870747
1.62E-4,-4.623753
1.64E-4,-3.976514
1.66E-4,-3.1905808
1.68E-4,-2.3121846
1.7E-4,-1.4337888
1.72E-4,-0.5091615
1.74E-4,0.4154663
1.76E-4,1.3400936
1.78E-4,2.2184901
1.8E-4,3.0968862
1.82E-4,3.8828197
1.84E-4,4.5762897
1.86E-4,5.177297
1.88E-4,5.6396117
1.9E-4,5.870768
1.92E-4,5.9169993
1.94E-4,5.9169993
1.96E-4,5.9169993
1.98E-4,5.9169993
2.0E-4,5.9169993
2.02E-4,5.9169993
2.04E-4,5.177297
2.06E-4,4.483826
2.08E-4,3.7903562
2.1E-4,2.9581914
2.12E-4,2.126027
2.14E-4,1.2476311
2.16E-4,0.27677202
2.18E-4,-0.6478553
2.2E-4,-1.5262513
2.22E-4,-2.4046474
2.24E-4,-3.2830436
2.26E-4,-4.022745
2.28E-4,-4.716216
2.3E-4,-5.2709923
2.32E-4,-5.6870747
2.34E-4,-5.7795377
2.3599999E-4,-5.825769
2.38E-4,-5.825769
2.4E-4,-5.825769
2.42E-4,-5.825769
2.44E-4,-5.825769
2.46E-4,-5.7795377
2.48E-4,-4.993604
2.5E-4,-4.3001337
2.52E-4,-3.5604317
2.54E-4,-2.728267
2.56E-4,-1.8498712
2.58E-4,-0.9714751
2.6E-4,-0.046847343
2.62E-4,0.92401123
2.64E-4,1.8024073
2.66E-4,2.6808028
2.68E-4,3.5129685
2.7E-4,4.252671
2.72E-4,4.8999095
2.74E-4,5.4546857
2.76E-4,5.7783055
2.78E-4,5.9169993
2.8E-4,5.9169993
2.82E-4,5.9169993
2.84E-4,5.9169993
2.86E-4,5.9169993
2.88E-4,5.9169993
2.9E-4,5.7783055
2.92E-4,4.807446
2.94E-4,4.113976
2.96E-4,3.3742738
2.98E-4,2.542109
2.9999999E-4,1.6174817
3.02E-4,0.7390857
3.04E-4,-0.18554163
3.06E-4,-1.1101689
3.08E-4,-1.9885652
3.1E-4,-2.866961
3.12E-4,-3.6991258
3.14E-4,-4.4388275
3.16E-4,-5.0398355
3.18E-4,-5.548381
3.2E-4,-5.7795377
3.22E-4,-5.825769
3.24E-4,-5.825769
3.26E-4,-5.825769
3.28E-4,-5.825769
3.3E-4,-5.825769
3.32E-4,-5.7795377
3.34E-4,-5.6408434
3.36E-4,-4.577522
3.38E-4,-3.9302826
3.4E-4,-3.1443493
3.4199998E-4,-2.3121846
3.44E-4,-1.4337888
3.46E-4,-0.46292973
3.48E-4,0.46169758
3.5E-4,1.3863249
3.52E-4,2.2647214
3.54E-4,3.1431174
3.56E-4,3.92905
3.58E-4,4.5762897
3.6E-4,5.177297
3.62E-4,5.6396117
3.64E-4,5.870768
3.66E-4,5.9169993
3.68E-4,5.9169993
3.7E-4,5.9169993
3.72E-4,5.9169993
3.74E-4,5.9169993
3.76E-4,5.9169993
3.78E-4,5.131067
3.8E-4,4.437596
3.82E-4,3.744125
3.84E-4,2.9581914
3.86E-4,2.0797954
3.88E-4,1.2013993
3.9E-4,0.27677202
3.92E-4,-0.694087
3.94E-4,-1.5724826
3.96E-4,-2.4508786
3.98E-4,-3.2830436
4.0E-4,-4.068977
4.02E-4,-4.716216
4.04E-4,-5.3172235
4.06E-4,-5.6870747
4.08E-4,-5.7795377
4.1E-4,-5.825769
4.12E-4,-5.825769
4.14E-4,-5.825769
4.16E-4,-5.825769
4.18E-4,-5.825769
4.2E-4,-5.7795377
4.22E-4,-4.947373
4.24E-4,-4.2539024
4.26E-4,-3.5142004
4.28E-4,-2.728267
4.3E-4,-1.8036394
4.32E-4,-0.9252434
4.34E-4,-6.160736E-4
4.36E-4,0.970243
4.38E-4,1.8486385
4.4E-4,2.727035
4.42E-4,0.87777996
4.44E-4,-2.4971101
4.46E-4,-4.947373
4.48E-4,-5.502149
4.5E-4,-5.7795377
4.52E-4,-5.825769
4.54E-4,-5.825769
4.56E-4,-5.825769
4.58E-4,-5.825769
4.6E-4,-5.825769
4.62E-4,-5.825769
4.64E-4,-5.7795377
4.66E-4,-4.8086786
4.68E-4,-4.115208
4.7E-4,-3.3755062
4.7199999E-4,-2.5433414
4.74E-4,-1.6187139
4.76E-4,-0.7403178
4.78E-4,0.23054075
4.8E-4,1.1551685
4.82E-4,2.033564
4.84E-4,2.9119601
4.86E-4,3.6978936
4.88E-4,4.437596
4.9E-4,5.0386033
4.92E-4,5.547148
4.94E-4,5.824537
4.96E-4,5.9169993
4.98E-4,5.9169993
5.0E-4,5.9169993
5.02E-4,5.9169993
5.04E-4,5.9169993
5.06E-4,5.9169993
5.08E-4,5.4546857
5.1E-4,4.5762897
5.12E-4,3.8828197
5.14E-4,3.0968862
5.16E-4,2.2647214
5.18E-4,1.3863249
5.2E-4,0.46169758
5.22E-4,-0.46292973
5.24E-4,-1.387557
5.26E-4,-2.2659533
5.28E-4,-3.1443493
5.3E-4,-3.9302826
5.32E-4,-4.577522
5.34E-4,-5.1785297
5.36E-4,-5.6408434
5.38E-4,-5.7795377
5.4E-4,-5.825769
5.42E-4,-5.825769
5.44E-4,-5.825769
5.46E-4,-5.825769
5.48E-4,-5.825769
5.5E-4,-5.7795377
5.52E-4,-5.1785297
5.54E-4,-4.4388275
5.56E-4,-3.6991258
5.58E-4,-2.9131925
5.6E-4,-2.0347965
5.62E-4,-1.1564007
5.64E-4,-0.18554163
5.66E-4,0.7390857
5.68E-4,1.6174817
5.7E-4,2.542109
5.72E-4,3.3742738
5.74E-4,4.113976
5.76E-4,4.7612157
5.78E-4,5.362222
5.8E-4,5.7320733
5.82E-4,5.9169993
5.84E-4,5.9169993
5.86E-4,5.9169993
5.88E-4,5.9169993
5.9E-4,5.9169993
5.92E-4,5.9169993
5.94E-4,5.824537
5.96E-4,4.8999095
5.98E-4,4.252671
5.9999997E-4,3.5129685
6.02E-4,2.6808028
6.04E-4,1.8024073
6.06E-4,0.92401123
6.08E-4,-0.046847343
6.1E-4,-0.9714751
6.12E-4,-1.8498712
6.14E-4,-2.728267
6.16E-4,-3.5604317
6.18E-4,-4.3001337
6.2E-4,-4.9011416
6.22E-4,-5.455918
6.24E-4,-5.733306
6.26E-4,-5.7795377
6.28E-4,-5.825769
6.3E-4,-5.825769
6.32E-4,-5.825769
6.34E-4,-5.825769
6.36E-4,-5.825769
6.38E-4,-5.733306
6.4E-4,-4.716216
6.42E-4,-4.068977
6.44E-4,-3.2830436
6.46E-4,-2.4508786
6.48E-4,-1.5724826
6.5E-4,-0.6478553
6.52E-4,0.27677202
6.54E-4,1.2476311
6.56E-4,2.126027
6.58E-4,2.9581914
6.6E-4,3.7903562
6.62E-4,4.483826
6.64E-4,5.0848346
6.66E-4,5.5933795
6.68E-4,5.824537
6.7E-4,5.9169993
6.72E-4,5.9169993
6.74E-4,5.9169993
6.76E-4,5.9169993
6.78E-4,5.9169993
6.8E-4,5.9169993
6.82E-4,5.4546857
6.8399997E-4,4.5762897
6.86E-4,3.8828197
6.88E-4,3.0968862
6.9E-4,2.2184901
6.92E-4,1.3400936
6.94E-4,0.4154663
6.96E-4,-0.5091615
6.98E-4,-1.4337888
7.0E-4,-2.3121846
7.02E-4,-3.1443493
7.04E-4,-3.9302826
7.06E-4,-4.623753
7.08E-4,-5.224761
7.1E-4,-5.6408434
7.12E-4,-5.7795377
7.14E-4,-5.825769
7.16E-4,-5.825769
7.18E-4,-5.825769
7.2E-4,-5.825769
7.22E-4,-5.825769
7.24E-4,-5.7795377
7.26E-4,-5.1322985
7.28E-4,-4.3925962
7.2999997E-4,-3.6528945
7.32E-4,-2.866961
7.34E-4,-1.9885652
7.36E-4,-1.1101689
7.38E-4,-0.13931036
7.4E-4,0.7853174
7.42E-4,1.6637135
7.44E-4,2.5883412
7.46E-4,3.420505
7.48E-4,4.1602073
7.5E-4,4.807446
7.52E-4,5.362222
7.54E-4,5.7320733
7.56E-4,5.9169993
7.58E-4,5.9169993
7.6E-4,5.9169993
7.62E-4,5.9169993
7.64E-4,5.9169993
7.66E-4,5.9169993
7.68E-4,5.824537
7.7E-4,4.8999095
7.72E-4,4.2064385
7.74E-4,3.4667363
7.76E-4,2.6345725
7.78E-4,1.756176
7.8E-4,0.87777996
7.82E-4,-0.046847343
7.84E-4,-1.0177064
7.86E-4,-1.8961024
7.88E-4,-2.7744985
7.9E-4,-3.5604317
7.92E-4,-4.346365
7.94E-4,-4.947373
7.96E-4,-5.455918
7.98E-4,-5.733306
8.0E-4,-5.825769
8.02E-4,-5.825769
8.04E-4,-5.825769
8.06E-4,-5.825769
8.08E-4,-5.825769
8.1E-4,-5.825769
8.12E-4,-5.733306
8.1399997E-4,-4.669985
8.16E-4,-4.022745
8.18E-4,-3.236812
8.2E-4,-2.4046474
8.22E-4,-1.5262513
8.24E-4,-0.601624
8.26E-4,0.3230033
8.28E-4,1.2476311
8.3E-4,2.172258
8.32E-4,3.0044227
8.34E-4,3.7903562
8.36E-4,4.483826
8.38E-4,5.131067
8.4E-4,5.5933795
8.42E-4,5.824537
8.44E-4,5.9169993
8.46E-4,5.9169993
8.48E-4,5.9169993
8.5E-4,5.9169993
8.52E-4,5.9169993
8.54E-4,5.9169993
8.56E-4,5.362222
8.58E-4,4.5300584
8.6E-4,3.8365874
8.62E-4,3.050654
8.64E-4,2.172258
8.66E-4,1.2938623
8.68E-4,0.36923456
8.7E-4,-0.55539227
8.72E-4,-1.48002
8.74E-4,-2.3584158
8.76E-4,-3.1905808
8.78E-4,-3.976514
8.8E-4,-4.623753
8.82E-4,-5.224761
8.84E-4,-5.6408434
8.86E-4,-5.7795377
8.88E-4,-5.825769
8.9E-4,-5.825769
8.92E-4,-5.825769
8.94E-4,-5.825769
8.96E-4,-5.825769
8.9799997E-4,-5.7795377
9.0E-4,-5.0860667
9.02E-4,-4.346365
9.04E-4,-3.6528945
9.06E-4,-2.8207297
9.08E-4,-1.9423337
9.1E-4,-1.0639377
9.12E-4,-0.09307861
9.14E-4,0.8315482
9.16E-4,1.7099442
9.18E-4,2.5883412
9.2E-4,3.420505
9.22E-4,4.2064385
9.24E-4,4.8536773
9.26E-4,5.4084544
9.28E-4,5.7320733
9.3E-4,5.9169993
9.32E-4,5.9169993
9.34E-4,5.9169993
9.36E-4,5.9169993
9.38E-4,5.9169993
9.4E-4,5.9169993
9.42E-4,5.824537
9.4399997E-4,4.8536773
9.46E-4,4.2064385
9.48E-4,3.420505
9.5E-4,2.5883412
9.52E-4,1.7099442
9.54E-4,0.8315482
9.56E-4,-0.09307861
9.58E-4,-1.0177064
9.6E-4,-1.8961024
9.62E-4,-2.7744985
9.64E-4,-3.6066632
9.66E-4,-4.346365
9.68E-4,-4.993604
9.7E-4,-5.502149
9.72E-4,-5.733306
9.74E-4,-5.825769
9.76E-4,-5.825769
9.78E-4,-5.825769
9.8E-4,-5.825769
9.82E-4,-5.825769
9.84E-4,-5.825769
9.859999E-4,-5.733306
9.88E-4,-4.669985
9.9E-4,-3.976514
9.92E-4,-3.236812
9.94E-4,-2.3584158
9.96E-4,-1.48002
9.98E-4,-0.55539227
0.001,0.36923456
0.001002,1.2938623
0.001004,2.172258
0.001006,3.050654
0.001008,3.8365874
0.00101,4.5300584
0.001012,5.131067
0.001014,5.5933795
0.001016,5.870768
0.001018,5.9169993
0.00102,5.9169993
0.001022,5.9169993
0.001024,5.9169993
0.001026,5.9169993
0.001028,5.9169993
0.00103,5.2697606
0.001032,4.483826
0.001034,3.7903562
0.001036,3.0044227
0.001038,2.172258
0.00104,1.2938623
0.001042,0.3230033
0.001044,-0.601624
0.001046,-1.48002
0.001048,-2.3584158
0.00105,-3.236812
0.001052,-4.022745
0.001054,-4.669985
0.001056,-5.2709923
0.001058,-5.6870747
0.00106,-5.7795377
0.001062,-5.825769
0.001064,-5.825769
0.001066,-5.825769
0.001068,-5.825769
0.00107,-5.825769
0.001072,-5.7795377
0.001074,-5.0398355
0.001076,-4.346365
0.001078,-3.6066632
0.00108,-2.7744985
0.001082,-1.8961024
0.001084,-1.0177064
0.001086,-0.09307861
0.001088,0.87777996
0.00109,1.756176
0.001092,2.6345725
0.001094,3.4667363
0.001096,4.2064385
0.001098,4.8536773
0.0011,5.4084544
0.001102,5.7783055
0.001104,5.9169993
0.001106,5.9169993
0.001108,5.7320733
0.00111,2.727035
0.001112,-1.8498712
0.001114,-4.85491
0.001116,-4.8086786
0.001118,-4.3001337
0.00112,-3.6991258
0.001122,-2.9594238
0.001124,-2.1734905
0.001126,-1.3413262
0.001128,-0.41669846
0.00113,0.50792885
0.001132,1.3863249
0.001134,2.2647214
0.001136,3.0968862
0.001138,3.8828197
0.00114,4.5762897
0.001142,5.2235284
0.001144,5.6396117
0.001146,5.870768
0.001148,5.9169993
0.00115,5.9169993
0.001152,5.9169993
0.0011539999,5.9169993
0.001156,5.9169993
0.001158,5.9169993
0.00116,5.7320733
0.001162,4.7149835
0.001164,4.0215135
0.001166,3.23558
0.001168,2.4034152
0.00117,1.4787879
0.001172,0.60039186
0.001174,-0.3704667
0.001176,-1.2950945
0.001178,-2.1734905
0.00118,-3.0056553
0.001182,-3.8378198
0.001184,-4.5312905
0.001186,-5.1322985
0.001188,-5.594612
0.00119,-5.7795377
0.001192,-5.825769
0.001194,-5.825769
0.001196,-5.825769
0.001198,-5.825769
0.0011999999,-5.825769
0.001202,-5.7795377
0.001204,-5.2709923
0.001206,-4.4388275
0.001208,-3.745357
0.00121,-2.9594238
0.001212,-2.081028
0.001214,-1.202632
0.001216,-0.27800417
0.001218,0.6928544
0.00122,1.5712504
0.001222,2.4496465
0.001224,3.3280425
0.001226,4.0677447
0.001228,4.7149835
0.00123,5.315992
0.001232,5.7320733
0.001234,5.870768
0.001236,5.9169993
0.001238,5.9169993
0.00124,5.9169993
0.001242,5.9169993
0.001244,5.9169993
0.0012459999,5.870768
0.001248,4.992371
0.00125,4.298901
0.001252,3.5591989
0.001254,2.727035
0.001256,1.8486385
0.001258,0.970243
0.00126,0.045615196
0.001262,-0.8790121
0.001264,-1.7574081
0.001266,-2.6358042
0.001268,-3.467969
0.00127,-4.2539024
0.001272,-4.85491
0.001274,-5.4096866
0.001276,-5.733306
0.001278,-5.7795377
0.00128,-5.825769
0.001282,-5.825769
0.001284,-5.825769
0.001286,-5.825769
0.001288,-5.825769
0.00129,-5.7795377
0.001292,-4.7624474
0.001294,-4.115208
0.001296,-3.3755062
0.001298,-2.5433414
0.0013,-1.6187139
0.001302,-0.7403178
0.001304,0.23054075
0.001306,1.1551685
0.001308,2.033564
0.00131,2.9119601
0.001312,3.6978936
0.001314,4.437596
0.001316,5.0386033
0.001318,5.547148
0.00132,5.824537
0.001322,5.9169993
0.001324,5.9169993
0.001326,5.9169993
0.001328,5.9169993
0.00133,5.9169993
0.001332,5.9169993
0.001334,5.547148
0.001336,4.622521
0.001338,3.92905
0.00134,3.1431174
0.001342,2.3109517
0.001344,1.4325566
0.001346,0.50792885
0.001348,-0.46292973
0.00135,-1.3413262
0.001352,-2.2197218
0.001354,-3.098118
0.001356,-3.8840513
0.001358,-4.577522
0.00136,-5.1785297
0.001362,-5.6408434
0.001364,-5.7795377
0.001366,-5.825769
0.0013679999,-5.825769
0.00137,-5.825769
0.001372,-5.825769
0.001374,-5.825769
0.001376,-5.7795377
0.001378,-5.224761
0.00138,-4.4388275
0.001382,-3.745357
0.001384,-2.9131925
0.001386,-2.081028
0.001388,-1.1564007
0.00139,-0.2317729
0.001392,0.6928544
0.001394,1.6174817
0.001396,2.4958777
0.001398,3.3280425
0.0014,4.113976
0.001402,4.7612157
0.001404,5.315992
0.001406,5.7320733
0.001408,5.870768
0.00141,5.9169993
0.001412,5.9169993
0.0014139999,5.9169993
0.001416,5.9169993
0.001418,5.9169993
0.00142,5.870768
0.001422,4.946141
0.001424,4.298901
0.001426,3.5129685
0.001428,2.727035
0.00143,1.8486385
0.001432,0.92401123
0.001434,-6.160736E-4
0.001436,-0.9252434
0.001438,-1.8036394
0.00144,-2.6820357
0.001442,-3.5142004
0.001444,-4.2539024
0.001446,-4.9011416
0.001448,-5.455918
0.00145,-5.733306
0.001452,-5.825769
0.001454,-5.825769
0.001456,-5.825769
0.001458,-5.825769
0.0014599999,-5.825769
0.001462,-5.7795377
0.001464,-5.7795377
0.001466,-4.7624474
0.001468,-4.068977
0.00147,-3.329275
0.001472,-2.4971101
0.001474,-1.5724826
0.001476,-0.694087
0.001478,0.27677202
0.00148,1.2013993
0.001482,2.0797954
0.001484,2.9581914
0.001486,3.744125
0.001488,4.437596
0.00149,5.0848346
0.001492,5.547148
0.001494,5.824537
0.001496,5.9169993
0.001498,5.9169993
0.0015,5.9169993
0.001502,5.9169993
0.001504,5.9169993
0.001506,5.9169993
0.001508,5.500917
0.00151,4.5762897
0.001512,3.8828197
0.001514,3.0968862
0.001516,2.2647214
0.001518,1.3863249
0.00152,0.46169758
0.001522,-0.46292973
0.001524,-1.387557
0.001526,-2.2659533
0.001528,-3.1443493
0.00153,-3.9302826
0.001532,-4.577522
0.001534,-5.1785297
0.001536,-5.6408434
0.001538,-5.7795377
0.00154,-5.825769
0.001542,-5.825769
0.001544,-5.825769
0.001546,-5.825769
0.001548,-5.825769
0.00155,-5.7795377
0.001552,-5.1785297
0.001554,-4.4388275
0.001556,-3.6991258
0.001558,-2.9131925
0.00156,-2.0347965
0.001562,-1.1101689
0.001564,-0.18554163
0.001566,0.7390857
0.001568,1.6637135
0.00157,2.542109
0.001572,3.3742738
0.001574,4.1602073
0.001576,4.807446
0.001578,5.362222
0.00158,5.7320733
0.0015819999,5.870768
0.001584,5.9169993
0.001586,5.9169993
0.001588,5.9169993
0.00159,5.9169993
0.001592,5.9169993
0.001594,5.824537
0.001596,4.8999095
0.001598,4.252671
0.0016,3.5129685
0.001602,2.6808028
0.001604,1.8024073
0.001606,0.87777996
0.001608,-0.046847343
0.00161,-0.9714751
0.001612,-1.8498712
0.001614,-2.728267
0.001616,-3.5604317
0.001618,-4.3001337
0.00162,-4.947373
0.001622,-5.455918
0.001624,-5.733306
0.001626,-5.825769
0.0016279999,-5.825769
