Time,CH1
0.0,3.3742738
4.0E-6,3.3742738
8.0E-6,3.3742738
1.2E-5,3.3742738
1.6E-5,3.420505
2.0E-5,3.420505
2.4E-5,3.3742738
2.8E-5,3.3742738
3.2E-5,3.420505
3.6E-5,3.3742738
4.0E-5,3.3742738
4.4E-5,3.3742738
4.8E-5,3.3742738
5.2E-5,3.3742738
5.6E-5,3.3742738
6.0E-5,3.3742738
6.4E-5,3.3742738
6.8E-5,3.3742738
7.2E-5,3.3742738
7.6E-5,3.3742738
8.0E-5,3.3742738
8.4E-5,3.3742738
8.8E-5,3.3742738
9.2E-5,3.3742738
9.6E-5,3.3742738
1.0E-4,3.3742738
1.04E-4,3.3742738
1.08E-4,3.3742738
1.12E-4,3.3742738
1.16E-4,3.420505
1.2E-4,3.420505
1.24E-4,3.420505
1.28E-4,3.3742738
1.32E-4,3.3742738
1.36E-4,3.3742738
1.4E-4,3.3742738
1.44E-4,3.3742738
1.48E-4,3.3742738
1.52E-4,3.3742738
1.56E-4,3.3742738
1.6E-4,3.3742738
1.64E-4,3.3742738
1.68E-4,3.3742738
1.72E-4,3.3742738
1.76E-4,3.3742738
1.8E-4,3.3742738
1.84E-4,3.3742738
1.88E-4,3.3742738
1.92E-4,3.3742738
1.96E-4,3.3742738
2.0E-4,3.3742738
2.04E-4,3.3742738
2.08E-4,3.3742738
2.12E-4,3.3742738
2.16E-4,3.3742738
2.2E-4,3.3742738
2.24E-4,3.3742738
2.28E-4,3.420505
2.32E-4,3.3742738
2.3599999E-4,3.3742738
2.4E-4,3.3742738
2.44E-4,3.3742738
2.48E-4,3.3742738
2.52E-4,3.3742738
2.56E-4,3.3742738
2.6E-4,3.3742738
2.64E-4,3.3742738
2.68E-4,3.3742738
2.72E-4,3.3742738
2.76E-4,3.3742738
2.8E-4,3.3742738
2.84E-4,3.3742738
2.88E-4,3.3742738
2.92E-4,3.3742738
2.96E-4,3.3742738
2.9999999E-4,3.3742738
3.04E-4,3.3742738
3.08E-4,3.3742738
3.12E-4,3.420505
3.16E-4,3.3742738
3.2E-4,3.3742738
3.24E-4,3.3742738
3.28E-4,3.3742738
3.32E-4,3.3742738
3.36E-4,3.3742738
3.4E-4,3.3742738
3.44E-4,3.3742738
3.48E-4,3.3742738
3.52E-4,3.3742738
3.56E-4,3.3742738
3.6E-4,3.3742738
3.64E-4,3.420505
3.68E-4,3.420505
3.72E-4,3.3742738
3.76E-4,3.3742738
3.8E-4,3.3742738
3.84E-4,3.420505
3.88E-4,3.420505
3.92E-4,3.420505
3.96E-4,3.3742738
4.0E-4,3.420505
4.04E-4,3.420505
4.08E-4,3.3742738
4.12E-4,3.3742738
4.16E-4,3.3742738
4.2E-4,3.420505
4.24E-4,3.420505
4.28E-4,3.3742738
4.32E-4,3.3742738
4.36E-4,3.420505
4.4E-4,3.420505
4.44E-4,3.3742738
4.48E-4,3.3742738
4.52E-4,3.420505
4.56E-4,3.420505
4.6E-4,3.3742738
4.64E-4,3.3742738
4.68E-4,3.3742738
4.7199999E-4,3.3742738
4.76E-4,3.3742738
4.8E-4,3.3742738
