Time,CH1
0.0,0.091846466
2.0E-6,-6.160736E-4
4.0E-6,-0.09307861
6.0E-6,-0.09307861
8.0E-6,-6.160736E-4
1.0E-5,0.13807821
1.2E-5,0.3230033
1.4E-5,0.5541601
1.6E-5,0.64662313
1.8E-5,0.64662313
2.0E-5,0.5541601
2.2E-5,0.46169758
2.4E-5,0.46169758
2.6E-5,0.50792885
2.8E-5,0.60039186
3.0E-5,0.7853174
3.2E-5,0.970243
3.4E-5,1.1089368
3.6E-5,1.1551685
3.8E-5,1.1089368
4.0E-5,1.0164738
4.2E-5,0.970243
4.4E-5,0.970243
4.6E-5,1.0627055
4.8E-5,1.2013993
5.0E-5,1.3863249
5.2E-5,1.5712504
5.4E-5,1.6174817
5.6E-5,1.5712504
5.8E-5,1.4787879
6.0E-5,1.4325566
6.2E-5,1.4325566
6.4E-5,1.4787879
6.6E-5,1.5712504
6.8E-5,1.756176
7.0E-5,1.9411016
7.2E-5,2.033564
7.4E-5,2.033564
7.6E-5,1.9411016
7.8E-5,1.8486385
8.0E-5,1.8024073
8.2E-5,1.8486385
8.4E-5,1.9411016
8.6E-5,2.0797954
8.8E-5,2.2647214
9.0E-5,2.4034152
9.2E-5,2.4496465
9.4E-5,2.357184
9.6E-5,2.2647214
9.8E-5,2.2184901
1.0E-4,2.2184901
1.02E-4,2.2647214
1.04E-4,2.4034152
1.06E-4,2.542109
1.08E-4,2.6808028
1.1E-4,2.7732663
1.12E-4,2.727035
1.14E-4,2.5883412
1.16E-4,2.542109
1.17999996E-4,2.4958777
1.2E-4,2.542109
1.22E-4,2.6345725
1.24E-4,2.7732663
1.26E-4,2.9119601
1.28E-4,3.0044227
1.3E-4,3.0044227
1.32E-4,2.9119601
1.34E-4,2.8194976
1.36E-4,2.7732663
1.38E-4,2.7732663
1.4E-4,2.8194976
1.42E-4,2.9581914
1.44E-4,3.0968862
1.46E-4,3.23558
1.48E-4,3.2818112
1.4999999E-4,3.1893477
1.52E-4,3.050654
1.54E-4,2.9581914
1.56E-4,2.9581914
1.58E-4,3.0044227
1.6E-4,3.050654
1.62E-4,3.1893477
1.64E-4,3.3280425
1.66E-4,3.420505
1.68E-4,3.3742738
1.7E-4,3.23558
1.72E-4,3.1431174
1.74E-4,3.0968862
1.76E-4,3.0968862
1.78E-4,3.1431174
1.8E-4,3.23558
1.82E-4,3.3280425
1.84E-4,3.4667363
1.86E-4,3.4667363
1.88E-4,3.3280425
1.9E-4,3.1893477
1.92E-4,3.0968862
1.94E-4,3.0968862
1.96E-4,3.0968862
1.98E-4,3.1893477
2.0E-4,3.2818112
2.02E-4,3.3742738
2.04E-4,3.420505
2.06E-4,3.3280425
2.08E-4,3.1893477
2.1E-4,3.050654
2.12E-4,3.0044227
2.14E-4,3.0044227
2.16E-4,3.050654
2.18E-4,3.1431174
2.2E-4,3.23558
2.22E-4,3.3280425
2.24E-4,3.23558
2.26E-4,3.0968862
2.28E-4,2.9581914
2.3E-4,2.8657289
2.32E-4,2.8194976
2.34E-4,2.8194976
2.3599999E-4,2.9119601
2.38E-4,3.0044227
2.4E-4,3.0968862
2.42E-4,3.0968862
2.44E-4,2.9581914
2.46E-4,2.7732663
2.48E-4,2.6345725
2.5E-4,2.542109
2.52E-4,2.542109
2.54E-4,2.5883412
2.56E-4,2.6808028
2.58E-4,2.7732663
2.6E-4,2.8194976
2.62E-4,2.6808028
2.64E-4,2.542109
2.66E-4,2.3109517
2.68E-4,2.2184901
2.7E-4,2.172258
2.72E-4,2.2184901
2.74E-4,2.2647214
2.76E-4,2.357184
2.78E-4,2.4034152
2.8E-4,2.3109517
2.82E-4,2.172258
2.84E-4,1.9411016
2.86E-4,1.8024073
2.88E-4,1.7099442
2.9E-4,1.7099442
2.92E-4,1.756176
2.94E-4,1.8486385
2.96E-4,1.9411016
2.98E-4,1.8948698
2.9999999E-4,1.756176
3.02E-4,1.5712504
3.04E-4,1.3863249
3.06E-4,1.2476311
3.08E-4,1.2013993
3.1E-4,1.2476311
3.12E-4,1.3400936
3.14E-4,1.3863249
3.16E-4,1.3863249
3.18E-4,1.2938623
3.2E-4,1.1089368
3.22E-4,0.87777996
3.24E-4,0.7390857
3.26E-4,0.64662313
3.28E-4,0.6928544
3.3E-4,0.7390857
3.32E-4,0.8315482
3.34E-4,0.8315482
3.36E-4,0.7853174
3.38E-4,0.60039186
3.4E-4,0.4154663
3.4199998E-4,0.184309
3.44E-4,0.091846466
3.46E-4,0.091846466
3.48E-4,0.13807821
3.5E-4,0.23054075
3.52E-4,0.27677202
3.54E-4,0.23054075
3.56E-4,0.091846466
3.58E-4,-0.09307861
3.6E-4,-0.32423592
